lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
49.8941708,2.2956951,2025-02-05 16:00:00+00:00,8.7,10.7,0.6,1039.7,0.0,0.0,1.0,11.0,0.0,1.6,Amiens
49.8941708,2.2956951,2025-02-05 17:00:00+00:00,5.5,10.7,0.6,1040.3,0.0,0.0,2.0,11.0,0.0,1.4,Amiens
49.8941708,2.2956951,2025-02-05 18:00:00+00:00,4.2,10.7,0.6,1040.6,0.0,0.0,102.0,11.0,0.0,1.0,Amiens
49.8941708,2.2956951,2025-02-05 19:00:00+00:00,3.1,10.7,1.5,1041.0,0.0,0.0,102.0,11.0,0.0,0.5,Amiens
49.8941708,2.2956951,2025-02-05 20:00:00+00:00,2.9,10.7,1.6,1041.4,0.0,0.0,102.0,11.0,0.0,1.8,Amiens
49.8941708,2.2956951,2025-02-05 21:00:00+00:00,2.2,10.7,1.6,1041.7,0.0,0.0,102.0,11.0,0.0,1.6,Amiens
49.8941708,2.2956951,2025-02-05 22:00:00+00:00,1.3,10.7,0.8,1041.4,0.0,0.0,103.0,11.0,0.0,1.3,Amiens
49.8941708,2.2956951,2025-02-05 23:00:00+00:00,0.7,10.7,0.2,1041.5,0.0,0.0,102.0,11.0,0.0,1.3,Amiens
49.8941708,2.2956951,2025-02-06 00:00:00+00:00,0.0,10.8,-0.5,1041.2,0.0,0.0,103.0,11.0,0.0,1.5,Amiens
49.8941708,2.2956951,2025-02-06 01:00:00+00:00,0.8,10.8,-0.5,1041.2,0.0,0.0,103.0,11.0,0.0,1.6,Amiens
49.8941708,2.2956951,2025-02-06 02:00:00+00:00,1.6,10.8,-0.5,1041.1,0.0,0.0,103.0,11.0,0.0,1.9,Amiens
49.8941708,2.2956951,2025-02-06 03:00:00+00:00,2.1,10.8,-0.5,1041.0,0.0,0.0,103.0,11.0,0.0,2.0,Amiens
49.8941708,2.2956951,2025-02-06 04:00:00+00:00,2.1,10.8,-0.5,1040.7,0.0,0.0,103.0,11.0,0.0,2.2,Amiens
49.8941708,2.2956951,2025-02-06 05:00:00+00:00,2.0,10.8,-0.5,1040.4,0.0,0.0,103.0,11.0,0.0,2.0,Amiens
49.8941708,2.2956951,2025-02-06 06:00:00+00:00,1.8,10.8,-0.5,1040.3,0.0,0.0,104.0,11.0,0.0,2.3,Amiens
49.8941708,2.2956951,2025-02-06 07:00:00+00:00,2.1,10.8,-0.5,1040.4,0.0,0.0,104.0,11.0,0.0,2.7,Amiens
49.8941708,2.2956951,2025-02-06 08:00:00+00:00,2.7,10.8,-0.5,1040.6,0.0,0.0,4.0,11.0,0.0,3.1,Amiens
49.8941708,2.2956951,2025-02-06 09:00:00+00:00,3.0,10.8,-0.5,1040.6,0.0,0.0,12.0,11.0,0.0,3.9,Amiens
49.8941708,2.2956951,2025-02-06 10:00:00+00:00,3.1,10.8,-0.5,1040.4,0.0,0.0,12.0,11.0,0.0,3.7,Amiens
49.8941708,2.2956951,2025-02-06 11:00:00+00:00,3.4,10.8,-0.5,1040.1,0.0,0.0,4.0,11.0,0.0,3.6,Amiens
49.8941708,2.2956951,2025-02-06 12:00:00+00:00,4.2,10.8,-0.5,1039.3,0.0,0.0,4.0,11.0,1.0,3.8,Amiens
49.8941708,2.2956951,2025-02-06 13:00:00+00:00,4.8,10.8,-0.5,1038.3,0.0,0.0,4.0,11.0,1.0,4.9,Amiens
49.8941708,2.2956951,2025-02-06 14:00:00+00:00,5.2,10.7,-0.5,1037.4,0.0,0.0,4.0,11.0,0.0,5.4,Amiens
49.8941708,2.2956951,2025-02-06 15:00:00+00:00,5.2,10.6,-0.5,1036.7,0.0,0.0,4.0,11.0,0.0,5.5,Amiens
49.8941708,2.2956951,2025-02-06 16:00:00+00:00,5.1,9.3,-0.3,1036.2,0.0,0.0,4.0,11.0,0.0,5.0,Amiens
49.8941708,2.2956951,2025-02-06 17:00:00+00:00,4.5,5.8,-0.3,1035.6,0.0,0.0,4.0,11.0,0.0,4.7,Amiens
49.8941708,2.2956951,2025-02-06 18:00:00+00:00,4.1,5.4,-0.3,1035.2,0.0,0.0,104.0,11.0,0.0,5.0,Amiens
49.8941708,2.2956951,2025-02-06 19:00:00+00:00,4.0,5.4,-0.3,1034.8,0.0,0.0,104.0,11.0,0.0,5.4,Amiens
49.8941708,2.2956951,2025-02-06 20:00:00+00:00,4.0,5.4,-0.3,1034.2,0.0,0.0,104.0,11.0,0.0,5.4,Amiens
49.8941708,2.2956951,2025-02-06 21:00:00+00:00,3.9,5.4,-0.3,1033.5,0.0,0.0,104.0,11.0,0.0,5.2,Amiens
49.8941708,2.2956951,2025-02-06 22:00:00+00:00,3.7,5.4,-0.3,1032.7,0.0,0.0,104.0,12.0,0.0,4.4,Amiens
49.8941708,2.2956951,2025-02-06 23:00:00+00:00,3.7,5.4,-0.3,1031.9,0.0,0.0,104.0,12.0,0.0,4.3,Amiens
49.8941708,2.2956951,2025-02-07 00:00:00+00:00,3.5,5.4,-0.3,1031.0,0.0,0.0,104.0,12.0,0.0,4.5,Amiens
49.8941708,2.2956951,2025-02-07 01:00:00+00:00,3.3,5.4,0.5,1030.0,0.0,0.0,104.0,12.0,0.0,4.7,Amiens
49.8941708,2.2956951,2025-02-07 02:00:00+00:00,3.1,5.4,1.4,1028.9,0.0,0.0,104.0,12.0,0.0,5.0,Amiens
49.8941708,2.2956951,2025-02-07 03:00:00+00:00,2.9,5.4,1.6,1027.7,0.0,0.0,104.0,12.0,0.0,5.0,Amiens
49.8941708,2.2956951,2025-02-07 04:00:00+00:00,2.6,5.4,1.6,1026.6,0.0,0.0,104.0,12.0,0.0,5.1,Amiens
49.8941708,2.2956951,2025-02-07 05:00:00+00:00,2.7,5.4,1.6,1025.9,0.0,0.0,104.0,12.0,0.0,5.1,Amiens
49.8941708,2.2956951,2025-02-07 06:00:00+00:00,2.5,5.4,1.6,1025.2,0.0,0.0,104.0,12.0,0.0,5.1,Amiens
49.8941708,2.2956951,2025-02-07 07:00:00+00:00,2.6,5.3,1.9,1024.6,0.0,0.0,104.0,12.0,0.0,4.9,Amiens
49.8941708,2.2956951,2025-02-07 08:00:00+00:00,2.7,5.3,2.4,1024.0,0.0,0.0,4.0,12.0,0.0,4.8,Amiens
49.8941708,2.2956951,2025-02-07 09:00:00+00:00,2.8,5.3,2.4,1023.4,0.0,0.0,4.0,12.0,0.0,4.6,Amiens
49.8941708,2.2956951,2025-02-07 10:00:00+00:00,3.3,5.3,2.4,1022.6,0.0,0.0,4.0,4.0,0.0,5.1,Amiens
49.8941708,2.2956951,2025-02-07 11:00:00+00:00,3.8,5.3,2.4,1021.7,0.0,0.0,4.0,4.0,0.0,5.5,Amiens
49.8941708,2.2956951,2025-02-07 12:00:00+00:00,4.3,5.3,2.4,1020.9,0.0,0.0,4.0,4.0,0.0,6.0,Amiens
49.8941708,2.2956951,2025-02-07 13:00:00+00:00,4.4,5.3,2.4,1020.1,0.0,0.0,4.0,4.0,0.0,5.5,Amiens
49.8941708,2.2956951,2025-02-07 14:00:00+00:00,4.5,5.3,2.4,1019.3,0.0,0.0,4.0,4.0,0.0,5.0,Amiens
