lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
45.8992348,6.1288847,2025-02-05 16:00:00+00:00,5.6,6.8,-3.0,1035.0,0.0,0.0,1.0,11.0,0.0,0.6,Annecy
45.8992348,6.1288847,2025-02-05 17:00:00+00:00,3.9,6.7,-3.0,1035.4,0.0,0.0,1.0,11.0,0.0,1.5,Annecy
45.8992348,6.1288847,2025-02-05 18:00:00+00:00,2.7,6.7,-3.0,1036.1,0.0,0.0,101.0,11.0,0.0,1.8,Annecy
45.8992348,6.1288847,2025-02-05 19:00:00+00:00,1.6,6.7,-3.0,1036.6,0.0,0.0,101.0,11.0,0.0,1.3,Annecy
45.8992348,6.1288847,2025-02-05 20:00:00+00:00,1.0,6.7,-3.0,1036.8,0.0,0.0,101.0,11.0,0.0,0.6,Annecy
45.8992348,6.1288847,2025-02-05 21:00:00+00:00,0.3,6.7,-3.0,1037.0,0.0,0.0,101.0,11.0,0.0,0.2,Annecy
45.8992348,6.1288847,2025-02-05 22:00:00+00:00,-0.2,6.7,-3.0,1036.9,0.0,0.0,101.0,11.0,0.0,0.5,Annecy
45.8992348,6.1288847,2025-02-05 23:00:00+00:00,-0.7,6.7,-3.0,1037.1,0.0,0.0,101.0,11.0,0.0,0.6,Annecy
45.8992348,6.1288847,2025-02-06 00:00:00+00:00,-1.0,6.7,-3.0,1037.1,0.0,0.0,102.0,11.0,0.0,0.9,Annecy
45.8992348,6.1288847,2025-02-06 01:00:00+00:00,-1.6,6.7,-3.0,1037.1,0.0,0.0,102.0,11.0,0.0,0.7,Annecy
45.8992348,6.1288847,2025-02-06 02:00:00+00:00,-2.2,6.7,-3.0,1037.1,0.0,0.0,102.0,11.0,0.0,0.4,Annecy
45.8992348,6.1288847,2025-02-06 03:00:00+00:00,-2.8,6.7,-3.3,1036.7,0.0,0.0,102.0,11.0,0.0,0.7,Annecy
45.8992348,6.1288847,2025-02-06 04:00:00+00:00,-3.3,6.7,-3.9,1036.9,0.0,0.0,104.0,11.0,0.0,0.7,Annecy
45.8992348,6.1288847,2025-02-06 05:00:00+00:00,-3.2,6.8,-3.9,1037.0,0.0,0.0,104.0,11.0,0.0,0.9,Annecy
45.8992348,6.1288847,2025-02-06 06:00:00+00:00,-3.6,6.8,-4.1,1037.0,0.0,0.0,112.0,11.0,0.0,0.9,Annecy
45.8992348,6.1288847,2025-02-06 07:00:00+00:00,-2.9,6.8,-4.1,1036.8,0.0,0.0,112.0,11.0,0.0,0.6,Annecy
45.8992348,6.1288847,2025-02-06 08:00:00+00:00,-2.4,6.8,-4.1,1036.7,0.0,0.0,12.0,11.0,0.0,1.1,Annecy
45.8992348,6.1288847,2025-02-06 09:00:00+00:00,-1.0,6.8,-4.1,1036.2,0.0,0.0,12.0,11.0,1.0,0.5,Annecy
45.8992348,6.1288847,2025-02-06 10:00:00+00:00,0.3,6.8,-4.1,1035.6,0.0,0.0,4.0,11.0,1.0,0.7,Annecy
45.8992348,6.1288847,2025-02-06 11:00:00+00:00,2.0,6.8,-4.1,1034.6,0.0,0.0,4.0,11.0,1.0,0.2,Annecy
45.8992348,6.1288847,2025-02-06 12:00:00+00:00,3.1,6.8,-4.1,1033.5,0.0,0.0,3.0,11.0,2.0,0.2,Annecy
45.8992348,6.1288847,2025-02-06 13:00:00+00:00,4.0,6.8,-4.1,1032.2,0.0,0.0,4.0,11.0,1.0,1.0,Annecy
45.8992348,6.1288847,2025-02-06 14:00:00+00:00,4.4,6.8,-4.1,1031.2,0.0,0.0,3.0,11.0,1.0,0.9,Annecy
45.8992348,6.1288847,2025-02-06 15:00:00+00:00,4.6,6.8,-4.1,1030.6,0.0,0.0,3.0,11.0,0.0,1.2,Annecy
45.8992348,6.1288847,2025-02-06 16:00:00+00:00,4.2,6.2,-4.0,1030.1,0.0,0.0,2.0,11.0,0.0,1.3,Annecy
45.8992348,6.1288847,2025-02-06 17:00:00+00:00,2.0,5.0,-4.0,1030.1,0.0,0.0,3.0,11.0,0.0,1.3,Annecy
45.8992348,6.1288847,2025-02-06 18:00:00+00:00,0.8,5.0,-4.0,1030.2,0.0,0.0,103.0,11.0,0.0,1.6,Annecy
45.8992348,6.1288847,2025-02-06 19:00:00+00:00,-0.1,5.0,-4.0,1029.9,0.0,0.0,103.0,11.0,0.0,1.5,Annecy
45.8992348,6.1288847,2025-02-06 20:00:00+00:00,-0.4,5.0,-4.0,1029.9,0.0,0.0,103.0,11.0,0.0,1.3,Annecy
45.8992348,6.1288847,2025-02-06 21:00:00+00:00,-0.8,5.0,-4.0,1029.6,0.0,0.0,104.0,11.0,0.0,0.9,Annecy
45.8992348,6.1288847,2025-02-06 22:00:00+00:00,-1.1,5.0,-4.0,1029.3,0.0,0.0,104.0,11.0,0.0,0.7,Annecy
45.8992348,6.1288847,2025-02-06 23:00:00+00:00,-1.3,5.0,-4.0,1028.9,0.0,0.0,104.0,11.0,0.0,0.3,Annecy
45.8992348,6.1288847,2025-02-07 00:00:00+00:00,-1.5,5.0,-4.0,1028.5,0.0,0.0,104.0,11.0,0.0,0.8,Annecy
45.8992348,6.1288847,2025-02-07 01:00:00+00:00,-1.8,5.0,-4.0,1028.1,0.0,0.0,104.0,11.0,0.0,0.8,Annecy
45.8992348,6.1288847,2025-02-07 02:00:00+00:00,-1.8,5.0,-4.0,1027.5,0.0,0.0,112.0,11.0,0.0,0.1,Annecy
45.8992348,6.1288847,2025-02-07 03:00:00+00:00,-2.2,5.0,-4.0,1026.8,0.0,0.0,112.0,11.0,0.0,0.3,Annecy
45.8992348,6.1288847,2025-02-07 04:00:00+00:00,-2.6,5.0,-4.0,1026.4,0.0,0.0,112.0,11.0,0.0,0.8,Annecy
45.8992348,6.1288847,2025-02-07 05:00:00+00:00,-2.7,5.0,-4.0,1026.2,0.0,0.0,104.0,11.0,0.0,0.8,Annecy
45.8992348,6.1288847,2025-02-07 06:00:00+00:00,-2.9,4.9,-4.0,1026.2,0.0,0.0,112.0,11.0,0.0,0.8,Annecy
45.8992348,6.1288847,2025-02-07 07:00:00+00:00,-3.0,5.0,-3.4,1026.3,0.0,0.0,112.0,11.0,0.0,1.2,Annecy
45.8992348,6.1288847,2025-02-07 08:00:00+00:00,-2.5,5.0,-3.4,1026.4,0.0,0.0,12.0,11.0,0.0,1.3,Annecy
45.8992348,6.1288847,2025-02-07 09:00:00+00:00,-1.5,5.0,-3.4,1026.1,0.0,0.0,12.0,11.0,1.0,1.0,Annecy
45.8992348,6.1288847,2025-02-07 10:00:00+00:00,-0.4,5.0,-3.4,1025.6,0.0,0.0,4.0,11.0,1.0,0.6,Annecy
45.8992348,6.1288847,2025-02-07 11:00:00+00:00,1.5,5.0,-3.4,1024.8,0.0,0.0,3.0,11.0,1.0,0.2,Annecy
45.8992348,6.1288847,2025-02-07 12:00:00+00:00,3.4,5.0,-3.4,1023.7,0.0,0.0,3.0,11.0,2.0,0.2,Annecy
45.8992348,6.1288847,2025-02-07 13:00:00+00:00,5.0,5.5,-3.4,1022.3,0.0,0.0,3.0,11.0,1.0,0.3,Annecy
45.8992348,6.1288847,2025-02-07 14:00:00+00:00,6.1,6.6,-3.5,1021.2,0.0,0.0,3.0,11.0,1.0,0.3,Annecy
45.8992348,6.1288847,2025-02-07 15:00:00+00:00,6.0,6.7,-3.5,1020.7,0.0,0.0,2.0,11.0,0.0,0.9,Annecy
45.8992348,6.1288847,2025-02-07 16:00:00+00:00,5.4,6.7,-3.5,1020.4,0.0,0.0,3.0,11.0,0.0,0.7,Annecy
