lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.4945144,-1.4736657,2025-02-05 16:00:00+00:00,11.8,13.0,4.3,1035.5,0.0,0.0,2.0,11.0,0.0,1.9,Bayonne
43.4945144,-1.4736657,2025-02-05 17:00:00+00:00,10.1,13.0,4.3,1035.7,0.0,0.0,2.0,11.0,0.0,1.5,Bayonne
43.4945144,-1.4736657,2025-02-05 18:00:00+00:00,8.2,13.0,4.3,1035.9,0.0,0.0,101.0,11.0,0.0,1.1,Bayonne
43.4945144,-1.4736657,2025-02-05 19:00:00+00:00,7.4,13.0,4.3,1036.2,0.0,0.0,101.0,11.0,0.0,0.7,Bayonne
43.4945144,-1.4736657,2025-02-05 20:00:00+00:00,7.0,13.0,4.3,1036.4,0.0,0.0,101.0,11.0,0.0,0.3,Bayonne
43.4945144,-1.4736657,2025-02-05 21:00:00+00:00,6.3,13.0,4.3,1036.7,0.0,0.0,101.0,11.0,0.0,0.5,Bayonne
43.4945144,-1.4736657,2025-02-05 22:00:00+00:00,5.2,13.0,4.3,1036.4,0.0,0.0,101.0,11.0,0.0,1.3,Bayonne
43.4945144,-1.4736657,2025-02-05 23:00:00+00:00,4.3,13.0,3.8,1036.0,0.0,0.0,101.0,11.0,0.0,1.5,Bayonne
43.4945144,-1.4736657,2025-02-06 00:00:00+00:00,3.4,13.1,2.9,1035.4,0.0,0.0,101.0,11.0,0.0,1.3,Bayonne
43.4945144,-1.4736657,2025-02-06 01:00:00+00:00,2.7,13.1,2.1,1034.5,0.0,0.0,101.0,11.0,0.0,1.0,Bayonne
43.4945144,-1.4736657,2025-02-06 02:00:00+00:00,2.3,13.1,1.8,1034.1,0.0,0.0,103.0,11.0,0.0,0.7,Bayonne
43.4945144,-1.4736657,2025-02-06 03:00:00+00:00,2.0,13.2,1.4,1033.8,0.0,0.0,103.0,11.0,0.0,0.6,Bayonne
43.4945144,-1.4736657,2025-02-06 04:00:00+00:00,1.9,13.2,1.3,1033.5,0.0,0.0,101.0,11.0,0.0,0.7,Bayonne
