lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
47.2380222,6.0243622,2025-02-05 16:00:00+00:00,3.4,5.0,-3.4,1038.3,0.0,0.0,3.0,12.0,0.0,1.8,Besancon
47.2380222,6.0243622,2025-02-05 17:00:00+00:00,1.8,4.1,-3.4,1038.8,0.0,0.0,2.0,12.0,0.0,1.4,Besancon
47.2380222,6.0243622,2025-02-05 18:00:00+00:00,0.8,4.0,-3.4,1039.3,0.0,0.0,101.0,12.0,0.0,1.2,Besancon
47.2380222,6.0243622,2025-02-05 19:00:00+00:00,1.0,4.0,-3.4,1039.5,0.0,0.0,103.0,12.0,0.0,0.7,Besancon
47.2380222,6.0243622,2025-02-05 20:00:00+00:00,1.4,4.0,-3.4,1039.3,0.0,0.0,103.0,12.0,0.0,1.4,Besancon
47.2380222,6.0243622,2025-02-05 21:00:00+00:00,2.0,4.0,-3.4,1039.3,0.0,0.0,103.0,12.0,0.0,2.8,Besancon
47.2380222,6.0243622,2025-02-05 22:00:00+00:00,1.9,4.0,-3.4,1039.1,0.0,0.0,104.0,12.0,0.0,3.2,Besancon
47.2380222,6.0243622,2025-02-05 23:00:00+00:00,1.3,4.0,-3.4,1039.1,0.0,0.0,104.0,12.0,0.0,3.2,Besancon
47.2380222,6.0243622,2025-02-06 00:00:00+00:00,1.0,4.0,-3.4,1038.7,0.0,0.0,104.0,12.0,0.0,3.4,Besancon
47.2380222,6.0243622,2025-02-06 01:00:00+00:00,1.0,4.0,-3.4,1038.1,0.0,0.0,104.0,12.0,0.0,3.6,Besancon
47.2380222,6.0243622,2025-02-06 02:00:00+00:00,1.0,4.0,-3.4,1037.5,0.0,0.0,104.0,12.0,0.0,3.3,Besancon
47.2380222,6.0243622,2025-02-06 03:00:00+00:00,1.0,4.0,-3.4,1037.4,0.0,0.0,104.0,12.0,0.0,3.1,Besancon
47.2380222,6.0243622,2025-02-06 04:00:00+00:00,1.0,4.0,-3.4,1037.0,0.0,0.0,104.0,12.0,0.0,3.8,Besancon
47.2380222,6.0243622,2025-02-06 05:00:00+00:00,1.0,4.0,-3.4,1037.3,0.0,0.0,104.0,12.0,0.0,3.6,Besancon
47.2380222,6.0243622,2025-02-06 06:00:00+00:00,0.8,4.0,-3.4,1037.0,0.0,0.0,104.0,12.0,0.0,4.0,Besancon
47.2380222,6.0243622,2025-02-06 07:00:00+00:00,0.7,4.0,-3.4,1036.7,0.0,0.0,104.0,12.0,0.0,4.0,Besancon
47.2380222,6.0243622,2025-02-06 08:00:00+00:00,0.7,4.0,-3.3,1036.5,0.0,0.0,4.0,12.0,0.0,3.7,Besancon
47.2380222,6.0243622,2025-02-06 09:00:00+00:00,1.4,3.9,-2.5,1036.0,0.0,0.0,4.0,12.0,0.0,3.9,Besancon
