lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
48.2495226,7.3454923,2025-02-05 16:00:00+00:00,1.9,2.9,-3.7,1039.3,0.0,0.0,2.0,11.0,0.0,3.5,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 17:00:00+00:00,1.2,2.9,-3.7,1039.9,0.0,0.0,4.0,11.0,0.0,3.7,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 18:00:00+00:00,0.9,2.9,-3.7,1040.4,0.0,0.0,112.0,11.0,0.0,4.1,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 19:00:00+00:00,1.2,2.9,-3.7,1040.9,0.0,0.0,104.0,11.0,0.0,4.0,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 20:00:00+00:00,0.1,2.9,-3.7,1040.9,0.0,0.0,104.0,11.0,0.0,4.1,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 21:00:00+00:00,0.2,2.9,-3.7,1040.9,0.0,0.0,104.0,11.0,0.0,4.4,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 22:00:00+00:00,0.5,2.9,-3.7,1040.4,0.0,0.0,104.0,11.0,0.0,4.7,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-05 23:00:00+00:00,0.6,2.7,-3.7,1040.4,0.0,0.0,104.0,11.0,0.0,3.8,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 00:00:00+00:00,0.6,2.7,-3.7,1040.0,0.0,0.0,104.0,11.0,0.0,3.4,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 01:00:00+00:00,0.4,2.7,-3.7,1039.6,0.0,0.0,104.0,11.0,0.0,3.7,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 02:00:00+00:00,-0.2,2.7,-3.7,1039.4,0.0,0.0,104.0,11.0,0.0,4.3,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 03:00:00+00:00,-0.6,2.7,-3.7,1039.0,0.0,0.0,112.0,11.0,0.0,4.6,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 04:00:00+00:00,-1.0,2.7,-3.7,1039.0,0.05,0.05,112.0,11.0,0.0,4.7,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 05:00:00+00:00,-1.4,2.7,-3.7,1038.9,0.16,0.21,107.0,9.0,0.0,4.2,Chateau du Haut Koenigsbourg
48.2495226,7.3454923,2025-02-06 06:00:00+00:00,-1.4,2.7,-3.7,1038.7,0.0,0.21,112.0,9.0,0.0,4.0,Chateau du Haut Koenigsbourg
