lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.7496562,6.3285616,2025-02-05 16:00:00+00:00,8.5,12.9,-0.7,1030.2,0.0,0.0,1.0,1.0,0.0,0.4,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 17:00:00+00:00,5.6,12.9,-0.7,1030.6,0.0,0.0,1.0,1.0,0.0,0.2,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 18:00:00+00:00,4.5,12.9,-0.7,1031.1,0.0,0.0,101.0,1.0,0.0,0.4,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 19:00:00+00:00,3.5,12.9,-0.7,1031.3,0.0,0.0,101.0,1.0,0.0,0.5,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 20:00:00+00:00,2.7,12.9,-0.7,1031.4,0.0,0.0,101.0,1.0,0.0,0.6,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 21:00:00+00:00,2.3,12.9,-0.7,1031.4,0.0,0.0,101.0,1.0,0.0,0.7,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 22:00:00+00:00,2.1,12.9,-0.7,1031.2,0.0,0.0,101.0,1.0,0.0,0.9,Gorges du Verdon
43.7496562,6.3285616,2025-02-05 23:00:00+00:00,2.2,12.9,-0.7,1031.2,0.0,0.0,101.0,1.0,0.0,1.0,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 00:00:00+00:00,2.2,12.9,-0.7,1031.0,0.0,0.0,101.0,1.0,0.0,0.9,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 01:00:00+00:00,2.2,12.9,-0.7,1030.8,0.0,0.0,101.0,1.0,0.0,0.8,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 02:00:00+00:00,2.1,12.9,-0.7,1030.9,0.0,0.0,101.0,1.0,0.0,0.9,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 03:00:00+00:00,1.7,12.9,-0.7,1030.7,0.0,0.0,101.0,1.0,0.0,0.9,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 04:00:00+00:00,1.5,12.9,-0.7,1030.5,0.0,0.0,101.0,1.0,0.0,0.9,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 05:00:00+00:00,1.4,12.9,-0.7,1030.5,0.0,0.0,101.0,1.0,0.0,1.0,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 06:00:00+00:00,1.2,12.9,-0.7,1030.0,0.0,0.0,101.0,1.0,0.0,1.2,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 07:00:00+00:00,1.1,12.8,-0.7,1030.0,0.0,0.0,101.0,1.0,0.0,1.2,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 08:00:00+00:00,4.2,12.8,0.4,1030.3,0.0,0.0,1.0,1.0,0.0,1.4,Gorges du Verdon
43.7496562,6.3285616,2025-02-06 09:00:00+00:00,8.7,12.8,0.4,1030.2,0.0,0.0,1.0,1.0,1.0,1.1,Gorges du Verdon
