lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
45.7578137,4.8320114,2025-02-05 16:00:00+00:00,4.6,4.9,-1.1,1037.4,0.0,0.0,4.0,12.0,0.0,3.0,Lyon
45.7578137,4.8320114,2025-02-05 17:00:00+00:00,3.7,4.9,-1.1,1037.9,0.0,0.0,4.0,12.0,0.0,2.7,Lyon
45.7578137,4.8320114,2025-02-05 18:00:00+00:00,3.3,4.9,-1.1,1038.6,0.0,0.0,104.0,12.0,0.0,2.8,Lyon
45.7578137,4.8320114,2025-02-05 19:00:00+00:00,3.2,4.9,-1.1,1038.9,0.0,0.0,104.0,12.0,0.0,2.6,Lyon
45.7578137,4.8320114,2025-02-05 20:00:00+00:00,3.4,4.9,-1.1,1038.7,0.0,0.0,103.0,12.0,0.0,2.6,Lyon
45.7578137,4.8320114,2025-02-05 21:00:00+00:00,2.8,4.9,-1.1,1038.6,0.0,0.0,104.0,12.0,0.0,2.5,Lyon
45.7578137,4.8320114,2025-02-05 22:00:00+00:00,3.2,4.9,-1.1,1038.2,0.0,0.0,104.0,12.0,0.0,2.7,Lyon
45.7578137,4.8320114,2025-02-05 23:00:00+00:00,3.9,4.9,-1.1,1038.2,0.0,0.0,104.0,12.0,0.0,3.0,Lyon
45.7578137,4.8320114,2025-02-06 00:00:00+00:00,3.7,4.9,-0.9,1038.1,0.0,0.0,104.0,12.0,0.0,2.7,Lyon
45.7578137,4.8320114,2025-02-06 01:00:00+00:00,3.5,4.9,-0.8,1037.6,0.0,0.0,104.0,12.0,0.0,2.0,Lyon
45.7578137,4.8320114,2025-02-06 02:00:00+00:00,3.0,4.9,-0.8,1037.1,0.0,0.0,104.0,12.0,0.0,1.8,Lyon
45.7578137,4.8320114,2025-02-06 03:00:00+00:00,2.5,4.9,-0.8,1036.9,0.0,0.0,104.0,12.0,0.0,2.4,Lyon
45.7578137,4.8320114,2025-02-06 04:00:00+00:00,1.7,4.9,-0.8,1036.7,0.0,0.0,104.0,12.0,0.0,3.0,Lyon
45.7578137,4.8320114,2025-02-06 05:00:00+00:00,1.4,4.9,-0.8,1036.8,0.0,0.0,104.0,12.0,0.0,2.9,Lyon
45.7578137,4.8320114,2025-02-06 06:00:00+00:00,1.0,4.9,-0.8,1036.5,0.0,0.0,104.0,12.0,0.0,2.5,Lyon
45.7578137,4.8320114,2025-02-06 07:00:00+00:00,0.7,4.9,-0.8,1036.6,0.0,0.0,104.0,12.0,0.0,2.5,Lyon
