lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.4515922,4.4277202,2025-02-05 16:00:00+00:00,10.5,12.4,3.6,1032.0,0.0,0.0,1.0,1.0,0.0,6.3,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 17:00:00+00:00,8.8,12.2,3.6,1032.3,0.0,0.0,1.0,1.0,0.0,6.4,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 18:00:00+00:00,7.2,12.2,3.6,1032.6,0.0,0.0,101.0,1.0,0.0,6.5,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 19:00:00+00:00,6.5,12.2,3.6,1032.9,0.0,0.0,101.0,1.0,0.0,7.0,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 20:00:00+00:00,6.0,12.2,3.6,1033.1,0.0,0.0,101.0,1.0,0.0,7.3,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 21:00:00+00:00,5.5,12.2,3.6,1033.2,0.0,0.0,101.0,1.0,0.0,7.2,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 22:00:00+00:00,5.0,12.2,3.6,1032.9,0.0,0.0,101.0,1.0,0.0,7.1,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-05 23:00:00+00:00,4.6,12.2,3.6,1032.8,0.0,0.0,101.0,1.0,0.0,7.0,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 00:00:00+00:00,4.4,12.2,3.6,1032.8,0.0,0.0,101.0,1.0,0.0,7.1,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 01:00:00+00:00,4.4,12.2,3.6,1032.7,0.0,0.0,101.0,1.0,0.0,7.3,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 02:00:00+00:00,4.4,12.2,3.6,1032.4,0.0,0.0,102.0,1.0,0.0,7.1,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 03:00:00+00:00,4.3,12.2,3.6,1031.9,0.0,0.0,101.0,1.0,0.0,6.7,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 04:00:00+00:00,4.0,12.2,3.6,1031.4,0.0,0.0,101.0,1.0,0.0,6.3,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 05:00:00+00:00,3.6,12.2,3.2,1031.2,0.0,0.0,101.0,1.0,0.0,5.8,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 06:00:00+00:00,3.3,12.2,2.9,1030.9,0.0,0.0,101.0,1.0,0.0,5.9,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 07:00:00+00:00,4.0,12.2,2.9,1031.4,0.0,0.0,101.0,1.0,0.0,6.1,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 08:00:00+00:00,4.9,12.2,2.9,1031.7,0.0,0.0,1.0,1.0,0.0,6.2,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 09:00:00+00:00,6.5,12.2,2.9,1031.6,0.0,0.0,1.0,1.0,1.0,5.5,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 10:00:00+00:00,8.4,12.2,2.9,1031.4,0.0,0.0,1.0,1.0,1.0,4.9,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 11:00:00+00:00,10.4,12.2,2.9,1031.0,0.0,0.0,1.0,1.0,2.0,4.5,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 12:00:00+00:00,12.0,12.5,2.9,1030.0,0.0,0.0,1.0,1.0,2.0,4.0,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 13:00:00+00:00,13.2,13.7,2.9,1029.0,0.0,0.0,1.0,1.0,2.0,3.1,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 14:00:00+00:00,13.8,14.3,2.8,1028.2,0.0,0.0,1.0,1.0,1.0,2.0,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 15:00:00+00:00,13.7,14.3,2.8,1027.5,0.0,0.0,1.0,1.0,1.0,1.0,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 16:00:00+00:00,13.0,14.3,2.8,1027.2,0.0,0.0,1.0,1.0,0.0,0.3,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 17:00:00+00:00,11.0,14.3,2.8,1026.9,0.0,0.0,1.0,1.0,0.0,0.2,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 18:00:00+00:00,9.1,14.3,2.8,1026.8,0.0,0.0,101.0,1.0,0.0,0.4,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 19:00:00+00:00,7.5,14.3,2.8,1026.8,0.0,0.0,101.0,1.0,0.0,1.8,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 20:00:00+00:00,6.1,14.3,2.8,1026.8,0.0,0.0,101.0,1.0,0.0,3.1,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 21:00:00+00:00,5.1,14.3,2.8,1026.9,0.0,0.0,102.0,2.0,0.0,3.2,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 22:00:00+00:00,4.8,14.3,2.8,1026.7,0.0,0.0,103.0,2.0,0.0,2.9,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-06 23:00:00+00:00,4.5,14.3,2.8,1026.2,0.0,0.0,102.0,2.0,0.0,2.8,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-07 00:00:00+00:00,4.0,14.3,2.8,1026.0,0.0,0.0,102.0,2.0,0.0,2.9,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-07 01:00:00+00:00,3.8,14.3,2.8,1025.6,0.0,0.0,101.0,2.0,0.0,3.0,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-07 02:00:00+00:00,5.1,14.3,2.8,1024.9,0.0,0.0,103.0,2.0,0.0,3.2,Saintes Maries de la mer
43.4515922,4.4277202,2025-02-07 03:00:00+00:00,6.9,14.3,2.8,1023.8,0.0,0.0,104.0,3.0,0.0,4.1,Saintes Maries de la mer
