lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
48.584614,7.7507127,2025-02-05 16:00:00+00:00,1.9,4.4,-4.7,1039.2,0.0,0.0,1.0,11.0,0.0,1.4,Strasbourg
48.584614,7.7507127,2025-02-05 17:00:00+00:00,0.9,4.4,-4.7,1039.8,0.0,0.0,3.0,11.0,0.0,1.9,Strasbourg
48.584614,7.7507127,2025-02-05 18:00:00+00:00,0.8,4.4,-4.7,1040.4,0.0,0.0,104.0,11.0,0.0,2.2,Strasbourg
48.584614,7.7507127,2025-02-05 19:00:00+00:00,0.9,4.4,-4.7,1040.9,0.0,0.0,104.0,11.0,0.0,2.5,Strasbourg
48.584614,7.7507127,2025-02-05 20:00:00+00:00,0.9,4.4,-4.7,1040.8,0.0,0.0,104.0,11.0,0.0,2.6,Strasbourg
48.584614,7.7507127,2025-02-05 21:00:00+00:00,0.9,4.4,-4.7,1040.9,0.0,0.0,104.0,11.0,0.0,2.3,Strasbourg
48.584614,7.7507127,2025-02-05 22:00:00+00:00,0.8,4.4,-4.7,1040.5,0.0,0.0,104.0,11.0,0.0,1.9,Strasbourg
48.584614,7.7507127,2025-02-05 23:00:00+00:00,0.7,4.4,-4.7,1040.4,0.0,0.0,104.0,12.0,0.0,1.9,Strasbourg
48.584614,7.7507127,2025-02-06 00:00:00+00:00,0.6,4.4,-4.7,1040.1,0.0,0.0,104.0,12.0,0.0,2.0,Strasbourg
48.584614,7.7507127,2025-02-06 01:00:00+00:00,0.7,4.4,-4.7,1039.4,0.0,0.0,104.0,12.0,0.0,1.9,Strasbourg
48.584614,7.7507127,2025-02-06 02:00:00+00:00,0.6,4.4,-4.7,1039.2,0.0,0.0,104.0,12.0,0.0,2.3,Strasbourg
48.584614,7.7507127,2025-02-06 03:00:00+00:00,0.8,4.4,-4.7,1039.0,0.0,0.0,104.0,12.0,0.0,2.7,Strasbourg
48.584614,7.7507127,2025-02-06 04:00:00+00:00,0.8,4.4,-4.7,1038.8,0.0,0.0,104.0,12.0,0.0,3.1,Strasbourg
48.584614,7.7507127,2025-02-06 05:00:00+00:00,0.8,4.4,-4.7,1038.3,0.0,0.0,104.0,12.0,0.0,3.2,Strasbourg
48.584614,7.7507127,2025-02-06 06:00:00+00:00,0.7,4.4,-4.7,1038.3,0.0,0.0,104.0,12.0,0.0,3.6,Strasbourg
48.584614,7.7507127,2025-02-06 07:00:00+00:00,0.7,4.4,-4.7,1038.0,0.0,0.0,104.0,12.0,0.0,3.6,Strasbourg
48.584614,7.7507127,2025-02-06 08:00:00+00:00,0.9,4.3,-4.1,1038.2,0.0,0.0,4.0,12.0,0.0,3.6,Strasbourg
48.584614,7.7507127,2025-02-06 09:00:00+00:00,1.4,4.3,-3.2,1038.1,0.0,0.0,4.0,3.0,0.0,4.0,Strasbourg
48.584614,7.7507127,2025-02-06 10:00:00+00:00,1.6,4.2,-1.6,1037.8,0.0,0.0,4.0,3.0,0.0,3.6,Strasbourg
48.584614,7.7507127,2025-02-06 11:00:00+00:00,2.2,4.2,0.4,1037.1,0.0,0.0,4.0,3.0,0.0,3.8,Strasbourg
48.584614,7.7507127,2025-02-06 12:00:00+00:00,2.4,4.2,0.4,1036.4,0.0,0.0,4.0,3.0,0.0,4.0,Strasbourg
48.584614,7.7507127,2025-02-06 13:00:00+00:00,2.7,4.2,0.4,1035.7,0.0,0.0,4.0,3.0,0.0,4.1,Strasbourg
48.584614,7.7507127,2025-02-06 14:00:00+00:00,3.4,4.2,0.4,1035.1,0.0,0.0,4.0,3.0,0.0,4.3,Strasbourg
48.584614,7.7507127,2025-02-06 15:00:00+00:00,3.4,4.2,0.4,1034.6,0.0,0.0,4.0,3.0,0.0,4.6,Strasbourg
48.584614,7.7507127,2025-02-06 16:00:00+00:00,2.9,3.5,0.4,1034.2,0.0,0.0,4.0,3.0,0.0,4.8,Strasbourg
48.584614,7.7507127,2025-02-06 17:00:00+00:00,2.6,3.5,0.4,1033.8,0.0,0.0,4.0,4.0,0.0,4.7,Strasbourg
48.584614,7.7507127,2025-02-06 18:00:00+00:00,2.4,3.5,0.4,1033.4,0.0,0.0,104.0,4.0,0.0,4.5,Strasbourg
48.584614,7.7507127,2025-02-06 19:00:00+00:00,2.3,3.5,0.4,1032.7,0.0,0.0,104.0,4.0,0.0,4.4,Strasbourg
48.584614,7.7507127,2025-02-06 20:00:00+00:00,2.2,3.5,0.4,1032.0,0.0,0.0,104.0,4.0,0.0,4.3,Strasbourg
48.584614,7.7507127,2025-02-06 21:00:00+00:00,1.9,3.5,0.4,1031.4,0.0,0.0,104.0,4.0,0.0,4.2,Strasbourg
48.584614,7.7507127,2025-02-06 22:00:00+00:00,1.3,3.5,0.4,1030.8,0.0,0.0,104.0,4.0,0.0,4.0,Strasbourg
48.584614,7.7507127,2025-02-06 23:00:00+00:00,0.9,3.5,0.4,1030.2,0.0,0.0,104.0,4.0,0.0,3.9,Strasbourg
48.584614,7.7507127,2025-02-07 00:00:00+00:00,0.5,3.5,0.3,1029.6,0.0,0.0,104.0,4.0,0.0,3.4,Strasbourg
48.584614,7.7507127,2025-02-07 01:00:00+00:00,0.2,3.5,-0.0,1029.0,0.0,0.0,104.0,4.0,0.0,2.7,Strasbourg
48.584614,7.7507127,2025-02-07 02:00:00+00:00,-0.1,3.6,-0.3,1028.4,0.0,0.0,104.0,4.0,0.0,1.9,Strasbourg
48.584614,7.7507127,2025-02-07 03:00:00+00:00,-0.5,3.6,-0.7,1027.6,0.0,0.0,104.0,4.0,0.0,1.5,Strasbourg
48.584614,7.7507127,2025-02-07 04:00:00+00:00,-0.7,3.6,-0.9,1027.0,0.0,0.0,104.0,4.0,0.0,1.2,Strasbourg
48.584614,7.7507127,2025-02-07 05:00:00+00:00,-0.8,3.6,-1.0,1026.6,0.0,0.0,104.0,4.0,0.0,1.3,Strasbourg
48.584614,7.7507127,2025-02-07 06:00:00+00:00,-0.9,3.6,-1.1,1026.6,0.0,0.0,104.0,4.0,0.0,1.3,Strasbourg
48.584614,7.7507127,2025-02-07 07:00:00+00:00,-0.3,3.6,-1.1,1026.5,0.0,0.0,104.0,4.0,0.0,1.1,Strasbourg
48.584614,7.7507127,2025-02-07 08:00:00+00:00,0.3,3.6,-1.1,1026.4,0.0,0.0,4.0,4.0,0.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-07 09:00:00+00:00,1.0,3.6,-1.1,1026.3,0.0,0.0,4.0,4.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-07 10:00:00+00:00,1.9,3.6,-1.1,1025.8,0.0,0.0,4.0,4.0,1.0,0.8,Strasbourg
48.584614,7.7507127,2025-02-07 11:00:00+00:00,2.9,3.6,-1.1,1025.4,0.0,0.0,4.0,4.0,1.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-07 12:00:00+00:00,3.9,4.2,-1.1,1024.9,0.0,0.0,4.0,4.0,1.0,1.0,Strasbourg
48.584614,7.7507127,2025-02-07 13:00:00+00:00,4.3,4.5,-1.1,1024.4,0.0,0.0,4.0,4.0,1.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-07 14:00:00+00:00,4.7,5.0,-1.2,1023.8,0.0,0.0,4.0,4.0,1.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-07 15:00:00+00:00,5.1,5.4,-1.2,1023.3,0.0,0.0,4.0,4.0,0.0,0.8,Strasbourg
48.584614,7.7507127,2025-02-07 16:00:00+00:00,4.0,5.4,-1.2,1023.1,0.0,0.0,4.0,4.0,0.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-07 17:00:00+00:00,3.0,5.4,-1.2,1022.9,0.0,0.0,3.0,3.0,0.0,1.1,Strasbourg
48.584614,7.7507127,2025-02-07 18:00:00+00:00,1.9,5.4,-1.2,1022.7,0.0,0.0,102.0,3.0,0.0,1.3,Strasbourg
48.584614,7.7507127,2025-02-07 19:00:00+00:00,1.3,5.4,-1.2,1022.6,0.0,0.0,102.0,3.0,0.0,1.1,Strasbourg
48.584614,7.7507127,2025-02-07 20:00:00+00:00,0.7,5.4,-1.2,1022.6,0.0,0.0,102.0,3.0,0.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-07 21:00:00+00:00,0.1,5.4,-1.2,1022.5,0.0,0.0,102.0,3.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-07 22:00:00+00:00,-0.4,5.4,-1.2,1022.7,0.0,0.0,103.0,3.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-07 23:00:00+00:00,-0.9,5.4,-1.2,1022.8,0.0,0.0,104.0,3.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-08 00:00:00+00:00,-1.3,5.4,-1.7,1023.0,0.0,0.0,104.0,3.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-08 01:00:00+00:00,-1.5,5.4,-1.8,1022.8,0.0,0.0,104.0,3.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-08 02:00:00+00:00,-1.7,5.5,-2.0,1022.7,0.0,0.0,104.0,3.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-08 03:00:00+00:00,-1.8,5.5,-2.2,1022.5,0.0,0.0,104.0,3.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-08 04:00:00+00:00,-2.2,5.5,-2.5,1022.7,0.0,0.0,104.0,3.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-08 05:00:00+00:00,-2.5,5.5,-2.9,1022.9,0.0,0.0,112.0,12.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-08 06:00:00+00:00,-2.9,5.5,-3.3,1023.1,0.0,0.0,112.0,12.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-08 07:00:00+00:00,-2.5,5.5,-3.3,1023.3,0.0,0.0,104.0,12.0,0.0,0.5,Strasbourg
48.584614,7.7507127,2025-02-08 08:00:00+00:00,-2.1,5.5,-3.3,1023.4,0.0,0.0,4.0,12.0,0.0,0.4,Strasbourg
48.584614,7.7507127,2025-02-08 09:00:00+00:00,-1.7,5.5,-3.3,1023.6,0.0,0.0,4.0,12.0,1.0,0.3,Strasbourg
48.584614,7.7507127,2025-02-08 10:00:00+00:00,0.3,5.5,-3.3,1023.5,0.0,0.0,4.0,12.0,1.0,0.4,Strasbourg
48.584614,7.7507127,2025-02-08 11:00:00+00:00,2.3,5.5,-3.3,1023.5,0.0,0.0,3.0,12.0,1.0,0.5,Strasbourg
48.584614,7.7507127,2025-02-08 12:00:00+00:00,4.4,5.5,-3.3,1023.4,0.0,0.0,1.0,11.0,1.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-08 13:00:00+00:00,4.9,5.5,-3.3,1023.2,0.0,0.0,1.0,11.0,1.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-08 14:00:00+00:00,5.5,6.0,-3.3,1023.1,0.0,0.0,1.0,11.0,1.0,1.2,Strasbourg
48.584614,7.7507127,2025-02-08 15:00:00+00:00,6.1,6.6,-3.3,1023.0,0.0,0.0,1.0,11.0,0.0,1.6,Strasbourg
48.584614,7.7507127,2025-02-08 16:00:00+00:00,4.8,6.6,-3.3,1023.4,0.0,0.0,1.0,11.0,0.0,1.6,Strasbourg
48.584614,7.7507127,2025-02-08 17:00:00+00:00,3.5,6.6,-3.3,1023.8,0.0,0.0,2.0,11.0,0.0,1.7,Strasbourg
48.584614,7.7507127,2025-02-08 18:00:00+00:00,2.3,6.6,-3.3,1024.2,0.0,0.0,102.0,11.0,0.0,1.8,Strasbourg
48.584614,7.7507127,2025-02-08 19:00:00+00:00,1.7,6.6,-3.3,1024.8,0.0,0.0,102.0,11.0,0.0,1.5,Strasbourg
48.584614,7.7507127,2025-02-08 20:00:00+00:00,1.1,6.6,-3.3,1025.3,0.0,0.0,102.0,11.0,0.0,1.3,Strasbourg
48.584614,7.7507127,2025-02-08 21:00:00+00:00,0.5,6.6,-3.3,1025.9,0.0,0.0,102.0,11.0,0.0,1.1,Strasbourg
48.584614,7.7507127,2025-02-08 22:00:00+00:00,0.1,6.6,-3.3,1026.5,0.0,0.0,103.0,11.0,0.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-08 23:00:00+00:00,-0.2,6.6,-3.3,1027.1,0.0,0.0,103.0,11.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-09 00:00:00+00:00,-0.6,6.6,-3.3,1027.7,0.0,0.0,104.0,11.0,0.0,0.5,Strasbourg
48.584614,7.7507127,2025-02-09 01:00:00+00:00,-0.7,6.6,-3.3,1028.2,0.0,0.0,104.0,11.0,0.0,0.5,Strasbourg
48.584614,7.7507127,2025-02-09 02:00:00+00:00,-0.7,6.6,-3.3,1028.6,0.0,0.0,104.0,11.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-09 03:00:00+00:00,-0.8,6.6,-3.3,1029.1,0.0,0.0,104.0,11.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-09 04:00:00+00:00,-0.4,6.6,-3.3,1029.4,0.0,0.0,104.0,11.0,0.0,0.4,Strasbourg
48.584614,7.7507127,2025-02-09 05:00:00+00:00,-0.1,6.6,-3.3,1029.7,0.0,0.0,104.0,11.0,0.0,0.3,Strasbourg
48.584614,7.7507127,2025-02-09 06:00:00+00:00,0.3,6.6,-3.3,1030.0,0.0,0.0,104.0,3.0,0.0,0.1,Strasbourg
48.584614,7.7507127,2025-02-09 07:00:00+00:00,0.8,6.6,-2.9,1030.4,0.25,0.25,106.0,10.0,0.0,0.2,Strasbourg
48.584614,7.7507127,2025-02-09 08:00:00+00:00,1.3,6.6,-2.5,1030.9,0.25,0.5,6.0,10.0,0.0,0.3,Strasbourg
48.584614,7.7507127,2025-02-09 09:00:00+00:00,1.8,6.5,-2.2,1031.4,0.25,0.75,6.0,10.0,1.0,0.4,Strasbourg
48.584614,7.7507127,2025-02-09 10:00:00+00:00,2.1,6.5,-1.1,1031.5,0.31,1.06,6.0,10.0,1.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-09 11:00:00+00:00,2.3,6.5,-1.1,1031.6,0.31,1.38,6.0,10.0,1.0,0.8,Strasbourg
48.584614,7.7507127,2025-02-09 12:00:00+00:00,2.6,6.5,-1.1,1031.8,0.31,1.69,6.0,10.0,1.0,1.1,Strasbourg
48.584614,7.7507127,2025-02-09 13:00:00+00:00,2.7,6.5,-1.1,1031.5,0.2,1.88,6.0,10.0,1.0,1.0,Strasbourg
48.584614,7.7507127,2025-02-09 14:00:00+00:00,2.7,6.5,-1.1,1031.3,0.2,2.08,6.0,10.0,1.0,0.8,Strasbourg
48.584614,7.7507127,2025-02-09 15:00:00+00:00,2.8,6.5,-1.1,1031.1,0.2,2.28,6.0,10.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-09 16:00:00+00:00,2.4,5.2,-1.0,1031.4,0.25,2.53,6.0,6.0,0.0,0.6,Strasbourg
48.584614,7.7507127,2025-02-09 17:00:00+00:00,2.1,3.8,-1.0,1031.7,0.25,2.78,6.0,6.0,0.0,0.4,Strasbourg
48.584614,7.7507127,2025-02-09 18:00:00+00:00,1.8,3.0,-1.0,1032.0,0.25,3.03,106.0,6.0,0.0,0.3,Strasbourg
48.584614,7.7507127,2025-02-09 19:00:00+00:00,1.5,3.0,-1.0,1032.0,0.43,3.46,106.0,6.0,0.0,0.5,Strasbourg
48.584614,7.7507127,2025-02-09 20:00:00+00:00,1.2,3.0,-1.0,1032.0,0.43,3.89,106.0,6.0,0.0,0.8,Strasbourg
48.584614,7.7507127,2025-02-09 21:00:00+00:00,0.9,3.0,-1.0,1032.0,0.43,4.32,106.0,6.0,0.0,1.0,Strasbourg
48.584614,7.7507127,2025-02-09 22:00:00+00:00,0.8,3.0,-1.0,1031.6,0.18,4.5,107.0,6.0,0.0,1.0,Strasbourg
48.584614,7.7507127,2025-02-09 23:00:00+00:00,0.6,3.0,-1.0,1031.3,0.18,4.68,107.0,6.0,0.0,0.9,Strasbourg
48.584614,7.7507127,2025-02-10 00:00:00+00:00,0.5,3.0,-1.0,1030.9,0.18,4.86,107.0,6.0,0.0,0.8,Strasbourg
48.584614,7.7507127,2025-02-10 01:00:00+00:00,0.4,3.0,-1.0,1030.5,0.1,4.96,107.0,6.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-10 02:00:00+00:00,0.3,3.0,-1.0,1030.0,0.1,5.06,107.0,6.0,0.0,0.5,Strasbourg
48.584614,7.7507127,2025-02-10 03:00:00+00:00,0.2,2.9,-1.0,1029.6,0.1,5.17,107.0,6.0,0.0,0.3,Strasbourg
48.584614,7.7507127,2025-02-10 04:00:00+00:00,0.2,2.9,-0.6,1029.4,0.0,5.17,112.0,6.0,0.0,0.7,Strasbourg
48.584614,7.7507127,2025-02-10 05:00:00+00:00,0.2,2.9,-0.2,1029.2,0.0,5.17,112.0,6.0,0.0,1.0,Strasbourg
48.584614,7.7507127,2025-02-10 06:00:00+00:00,0.2,2.9,0.0,1029.0,0.0,5.17,104.0,6.0,0.0,1.4,Strasbourg
48.584614,7.7507127,2025-02-10 07:00:00+00:00,0.3,2.9,0.0,1029.0,0.25,5.16,107.0,6.0,0.0,2.1,Strasbourg
48.584614,7.7507127,2025-02-10 08:00:00+00:00,0.4,2.9,0.0,1029.0,0.25,5.16,7.0,6.0,0.0,2.8,Strasbourg
48.584614,7.7507127,2025-02-10 09:00:00+00:00,0.6,2.9,0.0,1029.0,0.25,5.15,7.0,6.0,0.0,3.5,Strasbourg
48.584614,7.7507127,2025-02-10 10:00:00+00:00,0.8,2.9,0.0,1028.6,0.28,5.12,7.0,6.0,0.0,3.3,Strasbourg
48.584614,7.7507127,2025-02-10 11:00:00+00:00,1.1,2.9,0.0,1028.1,0.28,5.09,7.0,6.0,0.0,3.2,Strasbourg
48.584614,7.7507127,2025-02-10 12:00:00+00:00,1.3,2.9,0.0,1027.7,0.28,5.06,7.0,6.0,0.0,3.0,Strasbourg
48.584614,7.7507127,2025-02-10 13:00:00+00:00,1.3,2.9,0.0,1027.4,0.34,5.21,7.0,6.0,0.0,3.0,Strasbourg
48.584614,7.7507127,2025-02-10 14:00:00+00:00,1.4,2.9,0.0,1027.2,0.34,5.35,6.0,6.0,0.0,2.9,Strasbourg
48.584614,7.7507127,2025-02-10 15:00:00+00:00,1.4,2.9,0.1,1026.9,0.34,5.5,6.0,6.0,0.0,2.9,Strasbourg
48.584614,7.7507127,2025-02-10 16:00:00+00:00,1.2,2.6,0.1,1026.9,0.44,5.68,6.0,6.0,0.0,2.8,Strasbourg
48.584614,7.7507127,2025-02-10 17:00:00+00:00,1.0,2.2,0.1,1026.9,0.44,5.87,6.0,6.0,0.0,2.8,Strasbourg
48.584614,7.7507127,2025-02-10 18:00:00+00:00,0.7,1.9,0.1,1026.9,0.44,6.06,106.0,6.0,0.0,2.7,Strasbourg
48.584614,7.7507127,2025-02-10 19:00:00+00:00,0.7,1.6,0.1,1026.8,0.7,6.33,106.0,6.0,0.0,2.5,Strasbourg
48.584614,7.7507127,2025-02-10 20:00:00+00:00,0.6,1.5,0.1,1026.6,0.7,6.59,106.0,6.0,0.0,2.3,Strasbourg
