lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.6044622,1.4442469,2025-02-05 16:00:00+00:00,11.1,12.2,0.0,1035.0,0.0,0.0,1.0,1.0,0.0,1.4,Toulouse
43.6044622,1.4442469,2025-02-05 17:00:00+00:00,8.7,12.2,0.0,1035.2,0.0,0.0,1.0,1.0,0.0,1.1,Toulouse
43.6044622,1.4442469,2025-02-05 18:00:00+00:00,7.2,12.2,0.0,1035.6,0.0,0.0,101.0,1.0,0.0,1.6,Toulouse
43.6044622,1.4442469,2025-02-05 19:00:00+00:00,6.2,12.2,0.0,1035.8,0.0,0.0,101.0,1.0,0.0,1.8,Toulouse
43.6044622,1.4442469,2025-02-05 20:00:00+00:00,5.2,12.2,0.0,1035.7,0.0,0.0,101.0,1.0,0.0,1.7,Toulouse
43.6044622,1.4442469,2025-02-05 21:00:00+00:00,4.4,12.2,0.0,1035.8,0.0,0.0,101.0,1.0,0.0,1.7,Toulouse
43.6044622,1.4442469,2025-02-05 22:00:00+00:00,3.8,12.2,0.0,1035.7,0.0,0.0,101.0,1.0,0.0,1.8,Toulouse
43.6044622,1.4442469,2025-02-05 23:00:00+00:00,3.4,12.2,0.0,1035.7,0.0,0.0,101.0,1.0,0.0,1.8,Toulouse
43.6044622,1.4442469,2025-02-06 00:00:00+00:00,2.7,12.2,0.0,1035.5,0.0,0.0,101.0,1.0,0.0,1.3,Toulouse
43.6044622,1.4442469,2025-02-06 01:00:00+00:00,2.3,12.2,0.0,1034.7,0.0,0.0,101.0,1.0,0.0,1.4,Toulouse
43.6044622,1.4442469,2025-02-06 02:00:00+00:00,1.6,12.2,0.0,1034.1,0.0,0.0,101.0,1.0,0.0,1.7,Toulouse
43.6044622,1.4442469,2025-02-06 03:00:00+00:00,0.6,12.2,-0.0,1033.5,0.0,0.0,101.0,1.0,0.0,0.8,Toulouse
43.6044622,1.4442469,2025-02-06 04:00:00+00:00,0.6,12.3,-0.0,1033.1,0.0,0.0,101.0,1.0,0.0,0.1,Toulouse
43.6044622,1.4442469,2025-02-06 05:00:00+00:00,0.1,12.3,-0.5,1033.1,0.0,0.0,101.0,1.0,0.0,0.3,Toulouse
43.6044622,1.4442469,2025-02-06 06:00:00+00:00,-0.2,12.3,-0.8,1033.1,0.0,0.0,103.0,2.0,0.0,0.4,Toulouse
43.6044622,1.4442469,2025-02-06 07:00:00+00:00,0.1,12.3,-0.8,1033.4,0.0,0.0,104.0,3.0,0.0,1.0,Toulouse
43.6044622,1.4442469,2025-02-06 08:00:00+00:00,0.7,12.3,-0.8,1033.5,0.0,0.0,12.0,11.0,0.0,2.3,Toulouse
43.6044622,1.4442469,2025-02-06 09:00:00+00:00,2.1,12.3,-0.8,1033.1,0.0,0.0,4.0,11.0,1.0,1.7,Toulouse
