lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
44.0121279,4.4196718,2025-02-05 16:00:00+00:00,8.7,11.0,2.5,1032.3,0.0,0.0,1.0,1.0,0.0,6.3,Uzes
44.0121279,4.4196718,2025-02-05 17:00:00+00:00,6.8,11.0,2.5,1032.8,0.0,0.0,1.0,1.0,0.0,6.1,Uzes
44.0121279,4.4196718,2025-02-05 18:00:00+00:00,5.9,11.0,2.5,1033.3,0.0,0.0,101.0,1.0,0.0,6.6,Uzes
44.0121279,4.4196718,2025-02-05 19:00:00+00:00,5.4,11.0,2.5,1033.7,0.0,0.0,101.0,1.0,0.0,6.9,Uzes
44.0121279,4.4196718,2025-02-05 20:00:00+00:00,5.1,11.0,2.5,1033.9,0.0,0.0,101.0,1.0,0.0,7.1,Uzes
44.0121279,4.4196718,2025-02-05 21:00:00+00:00,4.7,11.0,2.5,1034.0,0.0,0.0,101.0,1.0,0.0,7.2,Uzes
44.0121279,4.4196718,2025-02-05 22:00:00+00:00,4.5,11.0,2.5,1033.8,0.0,0.0,101.0,1.0,0.0,7.3,Uzes
44.0121279,4.4196718,2025-02-05 23:00:00+00:00,4.3,11.0,2.5,1033.7,0.0,0.0,101.0,1.0,0.0,7.2,Uzes
44.0121279,4.4196718,2025-02-06 00:00:00+00:00,4.4,11.0,2.5,1033.8,0.0,0.0,101.0,1.0,0.0,7.2,Uzes
44.0121279,4.4196718,2025-02-06 01:00:00+00:00,4.4,11.0,2.5,1033.6,0.0,0.0,101.0,1.0,0.0,7.3,Uzes
44.0121279,4.4196718,2025-02-06 02:00:00+00:00,4.3,11.0,2.5,1033.3,0.0,0.0,101.0,1.0,0.0,7.1,Uzes
44.0121279,4.4196718,2025-02-06 03:00:00+00:00,4.1,11.0,2.5,1032.8,0.0,0.0,102.0,1.0,0.0,6.8,Uzes
44.0121279,4.4196718,2025-02-06 04:00:00+00:00,3.8,11.0,2.5,1032.2,0.0,0.0,101.0,1.0,0.0,6.4,Uzes
44.0121279,4.4196718,2025-02-06 05:00:00+00:00,3.5,11.0,2.5,1032.2,0.0,0.0,101.0,1.0,0.0,6.3,Uzes
44.0121279,4.4196718,2025-02-06 06:00:00+00:00,3.3,11.0,2.5,1031.9,0.0,0.0,101.0,1.0,0.0,6.5,Uzes
44.0121279,4.4196718,2025-02-06 07:00:00+00:00,3.2,11.0,2.5,1032.1,0.0,0.0,101.0,1.0,0.0,6.6,Uzes
44.0121279,4.4196718,2025-02-06 08:00:00+00:00,3.9,11.0,2.8,1032.3,0.0,0.0,1.0,1.0,0.0,6.6,Uzes
44.0121279,4.4196718,2025-02-06 09:00:00+00:00,5.2,11.0,2.8,1032.1,0.0,0.0,1.0,1.0,1.0,5.4,Uzes
