lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.5661521,4.19154,2025-02-05 16:00:00+00:00,11.3,13.4,-0.2,1032.3,0.0,0.0,1.0,1.0,0.0,3.3,Aigues Mortes
43.5661521,4.19154,2025-02-05 17:00:00+00:00,8.7,13.4,-0.2,1032.6,0.0,0.0,1.0,1.0,0.0,3.0,Aigues Mortes
43.5661521,4.19154,2025-02-05 18:00:00+00:00,7.0,13.4,-0.2,1032.9,0.0,0.0,101.0,1.0,0.0,3.7,Aigues Mortes
43.5661521,4.19154,2025-02-05 19:00:00+00:00,6.3,13.4,-0.2,1033.3,0.0,0.0,101.0,1.0,0.0,3.9,Aigues Mortes
43.5661521,4.19154,2025-02-05 20:00:00+00:00,6.0,13.4,-0.2,1033.4,0.0,0.0,101.0,1.0,0.0,4.6,Aigues Mortes
43.5661521,4.19154,2025-02-05 21:00:00+00:00,5.7,13.4,-0.2,1033.6,0.0,0.0,101.0,1.0,0.0,5.1,Aigues Mortes
43.5661521,4.19154,2025-02-05 22:00:00+00:00,5.3,13.4,-0.2,1033.3,0.0,0.0,101.0,1.0,0.0,5.2,Aigues Mortes
43.5661521,4.19154,2025-02-05 23:00:00+00:00,4.9,13.4,-0.2,1033.2,0.0,0.0,101.0,1.0,0.0,5.3,Aigues Mortes
43.5661521,4.19154,2025-02-06 00:00:00+00:00,4.6,13.4,-0.2,1033.3,0.0,0.0,101.0,1.0,0.0,5.5,Aigues Mortes
43.5661521,4.19154,2025-02-06 01:00:00+00:00,4.5,13.4,-0.2,1033.1,0.0,0.0,101.0,1.0,0.0,5.7,Aigues Mortes
43.5661521,4.19154,2025-02-06 02:00:00+00:00,4.5,13.4,-0.2,1032.8,0.0,0.0,101.0,1.0,0.0,5.6,Aigues Mortes
43.5661521,4.19154,2025-02-06 03:00:00+00:00,4.5,13.4,-0.2,1032.2,0.0,0.0,101.0,1.0,0.0,5.4,Aigues Mortes
43.5661521,4.19154,2025-02-06 04:00:00+00:00,4.2,13.4,-0.2,1031.7,0.0,0.0,101.0,1.0,0.0,5.0,Aigues Mortes
43.5661521,4.19154,2025-02-06 05:00:00+00:00,3.7,13.4,-0.2,1031.6,0.0,0.0,101.0,1.0,0.0,4.5,Aigues Mortes
43.5661521,4.19154,2025-02-06 06:00:00+00:00,3.4,13.4,-0.2,1031.3,0.0,0.0,101.0,1.0,0.0,4.6,Aigues Mortes
43.5661521,4.19154,2025-02-06 07:00:00+00:00,3.8,13.3,0.2,1031.7,0.0,0.0,101.0,1.0,0.0,4.4,Aigues Mortes
43.5661521,4.19154,2025-02-06 08:00:00+00:00,4.9,13.3,2.5,1032.1,0.0,0.0,1.0,1.0,0.0,4.6,Aigues Mortes
43.5661521,4.19154,2025-02-06 09:00:00+00:00,6.7,13.3,3.0,1032.0,0.0,0.0,1.0,1.0,1.0,4.5,Aigues Mortes
43.5661521,4.19154,2025-02-06 10:00:00+00:00,8.4,13.3,3.0,1031.7,0.0,0.0,1.0,1.0,1.0,3.9,Aigues Mortes
43.5661521,4.19154,2025-02-06 11:00:00+00:00,10.1,13.3,3.0,1031.2,0.0,0.0,1.0,1.0,2.0,3.4,Aigues Mortes
43.5661521,4.19154,2025-02-06 12:00:00+00:00,11.7,13.3,3.0,1030.2,0.0,0.0,1.0,1.0,2.0,3.1,Aigues Mortes
43.5661521,4.19154,2025-02-06 13:00:00+00:00,12.9,13.4,3.0,1029.1,0.0,0.0,1.0,1.0,2.0,2.6,Aigues Mortes
43.5661521,4.19154,2025-02-06 14:00:00+00:00,13.4,13.9,2.9,1028.2,0.0,0.0,1.0,1.0,1.0,2.0,Aigues Mortes
43.5661521,4.19154,2025-02-06 15:00:00+00:00,13.4,13.9,2.9,1027.6,0.0,0.0,1.0,1.0,1.0,1.3,Aigues Mortes
43.5661521,4.19154,2025-02-06 16:00:00+00:00,12.2,13.9,2.9,1027.3,0.0,0.0,1.0,1.0,0.0,0.8,Aigues Mortes
43.5661521,4.19154,2025-02-06 17:00:00+00:00,9.5,13.9,2.9,1027.0,0.0,0.0,1.0,1.0,0.0,1.1,Aigues Mortes
43.5661521,4.19154,2025-02-06 18:00:00+00:00,7.2,13.9,2.9,1026.8,0.0,0.0,101.0,1.0,0.0,1.8,Aigues Mortes
43.5661521,4.19154,2025-02-06 19:00:00+00:00,6.0,13.9,2.9,1026.9,0.0,0.0,101.0,1.0,0.0,2.5,Aigues Mortes
43.5661521,4.19154,2025-02-06 20:00:00+00:00,4.9,13.9,2.9,1026.9,0.0,0.0,102.0,1.0,0.0,2.7,Aigues Mortes
43.5661521,4.19154,2025-02-06 21:00:00+00:00,4.2,13.9,2.9,1026.9,0.0,0.0,102.0,2.0,0.0,2.7,Aigues Mortes
43.5661521,4.19154,2025-02-06 22:00:00+00:00,3.6,13.9,2.9,1026.8,0.0,0.0,102.0,2.0,0.0,2.7,Aigues Mortes
43.5661521,4.19154,2025-02-06 23:00:00+00:00,3.0,13.9,2.4,1026.4,0.0,0.0,102.0,2.0,0.0,2.7,Aigues Mortes
43.5661521,4.19154,2025-02-07 00:00:00+00:00,2.6,14.0,2.0,1026.0,0.0,0.0,101.0,2.0,0.0,2.7,Aigues Mortes
