lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
49.2764624,-0.7024738,2025-02-05 16:00:00+00:00,9.0,11.0,1.0,1039.9,0.0,0.0,3.0,11.0,0.0,1.6,Bayeux
49.2764624,-0.7024738,2025-02-05 17:00:00+00:00,6.5,11.0,1.0,1040.4,0.0,0.0,3.0,11.0,0.0,1.7,Bayeux
49.2764624,-0.7024738,2025-02-05 18:00:00+00:00,5.6,11.0,1.0,1040.6,0.0,0.0,103.0,11.0,0.0,1.7,Bayeux
49.2764624,-0.7024738,2025-02-05 19:00:00+00:00,5.2,11.0,1.0,1041.2,0.0,0.0,103.0,11.0,0.0,1.6,Bayeux
49.2764624,-0.7024738,2025-02-05 20:00:00+00:00,4.9,11.0,1.0,1041.4,0.0,0.0,103.0,11.0,0.0,1.2,Bayeux
49.2764624,-0.7024738,2025-02-05 21:00:00+00:00,5.1,11.0,1.0,1041.5,0.0,0.0,103.0,11.0,0.0,0.8,Bayeux
49.2764624,-0.7024738,2025-02-05 22:00:00+00:00,4.7,11.0,1.0,1041.5,0.0,0.0,103.0,11.0,0.0,0.7,Bayeux
49.2764624,-0.7024738,2025-02-05 23:00:00+00:00,4.8,11.0,1.0,1041.3,0.0,0.0,103.0,11.0,0.0,0.3,Bayeux
49.2764624,-0.7024738,2025-02-06 00:00:00+00:00,4.8,11.0,1.0,1041.1,0.0,0.0,103.0,11.0,0.0,0.2,Bayeux
49.2764624,-0.7024738,2025-02-06 01:00:00+00:00,4.8,11.0,1.0,1041.0,0.0,0.0,103.0,11.0,0.0,0.5,Bayeux
49.2764624,-0.7024738,2025-02-06 02:00:00+00:00,4.6,11.0,1.0,1040.7,0.0,0.0,103.0,11.0,0.0,1.4,Bayeux
49.2764624,-0.7024738,2025-02-06 03:00:00+00:00,4.9,11.0,1.0,1040.6,0.0,0.0,104.0,11.0,0.0,2.0,Bayeux
49.2764624,-0.7024738,2025-02-06 04:00:00+00:00,5.2,11.0,1.0,1040.2,0.0,0.0,104.0,11.0,0.0,3.3,Bayeux
49.2764624,-0.7024738,2025-02-06 05:00:00+00:00,5.5,11.0,1.0,1040.0,0.0,0.0,103.0,11.0,0.0,3.2,Bayeux
49.2764624,-0.7024738,2025-02-06 06:00:00+00:00,5.2,11.0,1.0,1039.8,0.0,0.0,103.0,11.0,0.0,3.4,Bayeux
49.2764624,-0.7024738,2025-02-06 07:00:00+00:00,5.0,11.0,1.0,1039.8,0.0,0.0,103.0,11.0,0.0,4.0,Bayeux
49.2764624,-0.7024738,2025-02-06 08:00:00+00:00,5.2,10.9,1.0,1040.1,0.0,0.0,3.0,3.0,0.0,4.3,Bayeux
49.2764624,-0.7024738,2025-02-06 09:00:00+00:00,6.1,10.8,2.9,1040.1,0.0,0.0,1.0,3.0,0.0,4.5,Bayeux
49.2764624,-0.7024738,2025-02-06 10:00:00+00:00,6.9,10.8,4.3,1040.0,0.0,0.0,1.0,3.0,0.0,5.2,Bayeux
49.2764624,-0.7024738,2025-02-06 11:00:00+00:00,7.3,10.8,4.3,1039.6,0.0,0.0,1.0,3.0,1.0,5.6,Bayeux
49.2764624,-0.7024738,2025-02-06 12:00:00+00:00,7.5,10.8,4.3,1038.9,0.0,0.0,1.0,3.0,1.0,5.5,Bayeux
49.2764624,-0.7024738,2025-02-06 13:00:00+00:00,7.4,10.8,4.3,1037.7,0.0,0.0,1.0,3.0,1.0,5.9,Bayeux
49.2764624,-0.7024738,2025-02-06 14:00:00+00:00,7.3,10.7,4.3,1036.7,0.0,0.0,1.0,3.0,1.0,6.4,Bayeux
49.2764624,-0.7024738,2025-02-06 15:00:00+00:00,6.9,10.2,4.3,1035.8,0.0,0.0,2.0,3.0,0.0,6.5,Bayeux
49.2764624,-0.7024738,2025-02-06 16:00:00+00:00,6.3,9.4,4.4,1035.1,0.0,0.0,1.0,3.0,0.0,6.3,Bayeux
49.2764624,-0.7024738,2025-02-06 17:00:00+00:00,5.2,7.6,4.4,1034.6,0.0,0.0,1.0,3.0,0.0,6.1,Bayeux
49.2764624,-0.7024738,2025-02-06 18:00:00+00:00,4.6,7.6,4.4,1034.2,0.0,0.0,102.0,3.0,0.0,6.0,Bayeux
49.2764624,-0.7024738,2025-02-06 19:00:00+00:00,4.2,7.6,4.0,1033.8,0.0,0.0,103.0,3.0,0.0,5.4,Bayeux
49.2764624,-0.7024738,2025-02-06 20:00:00+00:00,4.0,7.6,3.8,1033.1,0.0,0.0,103.0,3.0,0.0,5.3,Bayeux
49.2764624,-0.7024738,2025-02-06 21:00:00+00:00,3.7,7.7,3.5,1032.5,0.0,0.0,103.0,3.0,0.0,5.9,Bayeux
49.2764624,-0.7024738,2025-02-06 22:00:00+00:00,3.9,7.7,3.5,1031.7,0.0,0.0,104.0,3.0,0.0,5.9,Bayeux
49.2764624,-0.7024738,2025-02-06 23:00:00+00:00,3.9,7.7,3.5,1030.7,0.0,0.0,104.0,3.0,0.0,5.8,Bayeux
49.2764624,-0.7024738,2025-02-07 00:00:00+00:00,3.8,7.7,3.5,1029.8,0.0,0.0,104.0,3.0,0.0,5.7,Bayeux
49.2764624,-0.7024738,2025-02-07 01:00:00+00:00,3.9,7.7,3.5,1028.9,0.0,0.0,104.0,3.0,0.0,5.6,Bayeux
49.2764624,-0.7024738,2025-02-07 02:00:00+00:00,3.6,7.7,3.3,1027.9,0.0,0.0,104.0,3.0,0.0,5.7,Bayeux
49.2764624,-0.7024738,2025-02-07 03:00:00+00:00,3.3,7.7,3.1,1026.7,0.0,0.0,104.0,3.0,0.0,5.7,Bayeux
49.2764624,-0.7024738,2025-02-07 04:00:00+00:00,3.2,7.7,3.0,1025.3,0.0,0.0,104.0,3.0,0.0,5.2,Bayeux
49.2764624,-0.7024738,2025-02-07 05:00:00+00:00,3.0,7.7,2.8,1024.3,0.0,0.0,103.0,3.0,0.0,5.0,Bayeux
49.2764624,-0.7024738,2025-02-07 06:00:00+00:00,2.7,7.7,2.4,1023.6,0.0,0.0,103.0,3.0,0.0,4.8,Bayeux
49.2764624,-0.7024738,2025-02-07 07:00:00+00:00,2.7,7.7,2.4,1023.0,0.19,0.19,106.0,10.0,0.0,4.9,Bayeux
49.2764624,-0.7024738,2025-02-07 08:00:00+00:00,2.8,7.7,2.4,1022.4,0.19,0.38,6.0,10.0,0.0,5.0,Bayeux
49.2764624,-0.7024738,2025-02-07 09:00:00+00:00,2.7,7.7,2.4,1021.8,0.19,0.58,6.0,10.0,0.0,5.0,Bayeux
49.2764624,-0.7024738,2025-02-07 10:00:00+00:00,2.9,7.7,2.4,1021.0,0.0,0.58,4.0,10.0,0.0,5.0,Bayeux
49.2764624,-0.7024738,2025-02-07 11:00:00+00:00,3.1,7.7,2.4,1020.2,0.0,0.58,4.0,10.0,0.0,5.0,Bayeux
49.2764624,-0.7024738,2025-02-07 12:00:00+00:00,3.3,7.7,2.4,1019.4,0.0,0.58,4.0,10.0,0.0,5.0,Bayeux
49.2764624,-0.7024738,2025-02-07 13:00:00+00:00,3.5,7.7,2.4,1018.6,0.0,0.58,4.0,10.0,0.0,4.6,Bayeux
49.2764624,-0.7024738,2025-02-07 14:00:00+00:00,3.6,7.5,2.5,1017.8,0.0,0.58,4.0,10.0,0.0,4.3,Bayeux
49.2764624,-0.7024738,2025-02-07 15:00:00+00:00,3.8,7.2,2.5,1017.0,0.0,0.58,4.0,10.0,0.0,3.9,Bayeux
