lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.2130358,2.3491069,2025-02-05 16:00:00+00:00,11.3,12.7,3.5,1034.0,0.0,0.0,1.0,1.0,0.0,5.2,Carcassonne
43.2130358,2.3491069,2025-02-05 17:00:00+00:00,9.5,12.6,3.5,1034.4,0.0,0.0,1.0,1.0,0.0,4.2,Carcassonne
43.2130358,2.3491069,2025-02-05 18:00:00+00:00,7.9,12.6,3.5,1034.9,0.0,0.0,101.0,1.0,0.0,3.9,Carcassonne
43.2130358,2.3491069,2025-02-05 19:00:00+00:00,6.8,12.6,3.5,1035.2,0.0,0.0,101.0,1.0,0.0,3.9,Carcassonne
43.2130358,2.3491069,2025-02-05 20:00:00+00:00,6.1,12.6,3.5,1035.1,0.0,0.0,101.0,1.0,0.0,3.8,Carcassonne
43.2130358,2.3491069,2025-02-05 21:00:00+00:00,5.6,12.6,3.5,1035.2,0.0,0.0,101.0,1.0,0.0,3.7,Carcassonne
43.2130358,2.3491069,2025-02-05 22:00:00+00:00,5.2,12.6,3.5,1035.1,0.0,0.0,101.0,1.0,0.0,3.7,Carcassonne
43.2130358,2.3491069,2025-02-05 23:00:00+00:00,4.9,12.6,3.5,1035.0,0.0,0.0,101.0,1.0,0.0,3.9,Carcassonne
43.2130358,2.3491069,2025-02-06 00:00:00+00:00,4.5,12.6,3.5,1035.0,0.0,0.0,101.0,1.0,0.0,4.0,Carcassonne
43.2130358,2.3491069,2025-02-06 01:00:00+00:00,4.1,12.6,3.5,1034.6,0.0,0.0,101.0,1.0,0.0,3.9,Carcassonne
43.2130358,2.3491069,2025-02-06 02:00:00+00:00,3.7,12.6,3.2,1034.1,0.0,0.0,101.0,1.0,0.0,3.2,Carcassonne
43.2130358,2.3491069,2025-02-06 03:00:00+00:00,3.0,12.6,2.6,1033.2,0.0,0.0,101.0,1.0,0.0,2.4,Carcassonne
43.2130358,2.3491069,2025-02-06 04:00:00+00:00,2.5,12.7,2.0,1032.5,0.0,0.0,101.0,1.0,0.0,1.8,Carcassonne
43.2130358,2.3491069,2025-02-06 05:00:00+00:00,2.1,12.7,1.5,1032.3,0.0,0.0,101.0,1.0,0.0,1.6,Carcassonne
43.2130358,2.3491069,2025-02-06 06:00:00+00:00,1.8,12.7,1.3,1032.1,0.0,0.0,101.0,1.0,0.0,1.7,Carcassonne
43.2130358,2.3491069,2025-02-06 07:00:00+00:00,1.6,12.7,1.1,1032.6,0.0,0.0,101.0,1.0,0.0,1.7,Carcassonne
43.2130358,2.3491069,2025-02-06 08:00:00+00:00,3.1,12.7,1.0,1033.1,0.0,0.0,1.0,1.0,0.0,2.6,Carcassonne
43.2130358,2.3491069,2025-02-06 09:00:00+00:00,5.1,12.7,1.0,1032.8,0.0,0.0,1.0,1.0,1.0,2.5,Carcassonne
43.2130358,2.3491069,2025-02-06 10:00:00+00:00,7.3,12.7,1.0,1032.2,0.0,0.0,1.0,1.0,1.0,2.5,Carcassonne
43.2130358,2.3491069,2025-02-06 11:00:00+00:00,9.3,12.7,1.0,1031.4,0.0,0.0,1.0,1.0,2.0,2.4,Carcassonne
43.2130358,2.3491069,2025-02-06 12:00:00+00:00,10.8,12.7,1.0,1030.1,0.0,0.0,1.0,1.0,2.0,1.6,Carcassonne
43.2130358,2.3491069,2025-02-06 13:00:00+00:00,11.9,12.7,1.0,1028.8,0.0,0.0,1.0,1.0,2.0,0.6,Carcassonne
43.2130358,2.3491069,2025-02-06 14:00:00+00:00,12.3,12.8,1.0,1028.2,0.0,0.0,1.0,1.0,1.0,0.1,Carcassonne
43.2130358,2.3491069,2025-02-06 15:00:00+00:00,12.0,12.8,1.0,1027.6,0.0,0.0,1.0,1.0,1.0,0.5,Carcassonne
43.2130358,2.3491069,2025-02-06 16:00:00+00:00,11.2,12.8,1.0,1027.4,0.0,0.0,1.0,1.0,0.0,0.6,Carcassonne
