lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
42.52505,3.0831554,2025-02-05 16:00:00+00:00,15.0,16.6,8.5,1031.8,0.0,0.0,1.0,1.0,0.0,5.7,Collioure
42.52505,3.0831554,2025-02-05 17:00:00+00:00,13.4,16.6,8.5,1032.3,0.0,0.0,1.0,1.0,0.0,5.3,Collioure
42.52505,3.0831554,2025-02-05 18:00:00+00:00,11.9,16.6,8.5,1032.6,0.0,0.0,101.0,1.0,0.0,5.2,Collioure
42.52505,3.0831554,2025-02-05 19:00:00+00:00,11.1,16.6,8.5,1032.9,0.0,0.0,101.0,1.0,0.0,4.9,Collioure
42.52505,3.0831554,2025-02-05 20:00:00+00:00,10.5,16.6,8.5,1033.1,0.0,0.0,101.0,1.0,0.0,4.7,Collioure
42.52505,3.0831554,2025-02-05 21:00:00+00:00,10.0,16.6,8.5,1033.3,0.0,0.0,101.0,1.0,0.0,4.2,Collioure
42.52505,3.0831554,2025-02-05 22:00:00+00:00,9.6,16.6,8.5,1033.1,0.0,0.0,101.0,1.0,0.0,3.6,Collioure
42.52505,3.0831554,2025-02-05 23:00:00+00:00,9.2,16.6,8.5,1033.0,0.0,0.0,101.0,1.0,0.0,3.1,Collioure
42.52505,3.0831554,2025-02-06 00:00:00+00:00,8.9,16.6,8.5,1033.0,0.0,0.0,101.0,1.0,0.0,3.0,Collioure
42.52505,3.0831554,2025-02-06 01:00:00+00:00,8.7,16.6,8.4,1032.7,0.0,0.0,101.0,1.0,0.0,3.1,Collioure
42.52505,3.0831554,2025-02-06 02:00:00+00:00,8.6,16.6,8.2,1032.6,0.0,0.0,101.0,1.0,0.0,3.2,Collioure
42.52505,3.0831554,2025-02-06 03:00:00+00:00,8.4,16.6,8.0,1032.1,0.0,0.0,101.0,1.0,0.0,2.9,Collioure
42.52505,3.0831554,2025-02-06 04:00:00+00:00,8.0,16.6,7.6,1031.8,0.0,0.0,101.0,1.0,0.0,3.0,Collioure
42.52505,3.0831554,2025-02-06 05:00:00+00:00,7.7,16.6,7.3,1031.8,0.0,0.0,101.0,1.0,0.0,3.1,Collioure
42.52505,3.0831554,2025-02-06 06:00:00+00:00,7.6,16.6,7.1,1031.5,0.0,0.0,101.0,1.0,0.0,2.8,Collioure
42.52505,3.0831554,2025-02-06 07:00:00+00:00,7.7,16.6,7.1,1031.8,0.0,0.0,101.0,1.0,0.0,2.8,Collioure
42.52505,3.0831554,2025-02-06 08:00:00+00:00,7.8,16.6,7.1,1032.3,0.0,0.0,1.0,1.0,0.0,3.2,Collioure
42.52505,3.0831554,2025-02-06 09:00:00+00:00,9.0,16.6,7.1,1032.1,0.0,0.0,1.0,1.0,1.0,3.0,Collioure
42.52505,3.0831554,2025-02-06 10:00:00+00:00,10.8,16.6,7.1,1031.8,0.0,0.0,1.0,1.0,1.0,2.7,Collioure
42.52505,3.0831554,2025-02-06 11:00:00+00:00,11.9,16.6,7.1,1031.4,0.0,0.0,1.0,1.0,2.0,2.5,Collioure
42.52505,3.0831554,2025-02-06 12:00:00+00:00,12.2,16.6,7.1,1030.5,0.0,0.0,1.0,1.0,2.0,2.4,Collioure
42.52505,3.0831554,2025-02-06 13:00:00+00:00,12.2,16.6,7.1,1029.5,0.0,0.0,1.0,1.0,2.0,2.3,Collioure
42.52505,3.0831554,2025-02-06 14:00:00+00:00,12.1,16.6,7.1,1028.8,0.0,0.0,1.0,1.0,1.0,1.9,Collioure
42.52505,3.0831554,2025-02-06 15:00:00+00:00,11.9,16.2,7.2,1027.9,0.0,0.0,1.0,1.0,1.0,1.7,Collioure
42.52505,3.0831554,2025-02-06 16:00:00+00:00,11.2,15.4,7.3,1027.5,0.0,0.0,1.0,1.0,0.0,1.8,Collioure
42.52505,3.0831554,2025-02-06 17:00:00+00:00,9.7,13.8,7.3,1027.4,0.0,0.0,1.0,1.0,0.0,1.2,Collioure
42.52505,3.0831554,2025-02-06 18:00:00+00:00,8.8,12.4,7.3,1027.1,0.0,0.0,101.0,1.0,0.0,0.4,Collioure
42.52505,3.0831554,2025-02-06 19:00:00+00:00,8.3,12.4,7.3,1026.8,0.0,0.0,101.0,1.0,0.0,0.4,Collioure
42.52505,3.0831554,2025-02-06 20:00:00+00:00,7.8,12.4,7.3,1026.5,0.0,0.0,101.0,1.0,0.0,0.7,Collioure
42.52505,3.0831554,2025-02-06 21:00:00+00:00,7.6,12.4,7.3,1026.4,0.0,0.0,101.0,1.0,0.0,0.6,Collioure
42.52505,3.0831554,2025-02-06 22:00:00+00:00,7.3,12.4,7.0,1026.1,0.0,0.0,101.0,1.0,0.0,0.6,Collioure
42.52505,3.0831554,2025-02-06 23:00:00+00:00,7.1,12.4,6.8,1025.6,0.0,0.0,101.0,1.0,0.0,1.2,Collioure
42.52505,3.0831554,2025-02-07 00:00:00+00:00,7.1,12.5,6.8,1025.1,0.0,0.0,101.0,1.0,0.0,1.8,Collioure
42.52505,3.0831554,2025-02-07 01:00:00+00:00,6.9,12.5,6.6,1024.5,0.0,0.0,101.0,1.0,0.0,2.0,Collioure
42.52505,3.0831554,2025-02-07 02:00:00+00:00,6.8,12.5,6.6,1023.8,0.0,0.0,101.0,1.0,0.0,2.2,Collioure
