lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
47.3215806,5.0414701,2025-02-05 16:00:00+00:00,6.4,6.8,-2.1,1037.9,0.0,0.0,4.0,12.0,0.0,2.1,Dijon
47.3215806,5.0414701,2025-02-05 17:00:00+00:00,5.9,6.8,-2.1,1038.5,0.0,0.0,4.0,12.0,0.0,1.5,Dijon
47.3215806,5.0414701,2025-02-05 18:00:00+00:00,5.6,6.8,-2.1,1038.8,0.0,0.0,104.0,12.0,0.0,1.5,Dijon
47.3215806,5.0414701,2025-02-05 19:00:00+00:00,5.9,6.8,-2.1,1039.1,0.0,0.0,104.0,12.0,0.0,2.2,Dijon
47.3215806,5.0414701,2025-02-05 20:00:00+00:00,5.9,6.8,-2.1,1039.0,0.04,0.04,104.0,12.0,0.0,3.3,Dijon
47.3215806,5.0414701,2025-02-05 21:00:00+00:00,5.8,6.8,-2.1,1039.0,0.0,0.04,104.0,12.0,0.0,3.1,Dijon
47.3215806,5.0414701,2025-02-05 22:00:00+00:00,5.5,6.8,-2.1,1038.9,0.04,0.08,104.0,12.0,0.0,2.2,Dijon
47.3215806,5.0414701,2025-02-05 23:00:00+00:00,5.4,6.8,-2.1,1038.7,0.11,0.2,115.0,15.0,0.0,2.4,Dijon
47.3215806,5.0414701,2025-02-06 00:00:00+00:00,5.1,6.8,-2.1,1038.1,0.0,0.2,104.0,15.0,0.0,2.7,Dijon
47.3215806,5.0414701,2025-02-06 01:00:00+00:00,4.6,6.8,-2.1,1037.8,0.0,0.2,104.0,15.0,0.0,3.1,Dijon
47.3215806,5.0414701,2025-02-06 02:00:00+00:00,4.2,6.8,-2.1,1037.7,0.05,0.24,104.0,15.0,0.0,2.7,Dijon
47.3215806,5.0414701,2025-02-06 03:00:00+00:00,3.7,6.8,-2.1,1037.3,0.05,0.29,104.0,15.0,0.0,2.8,Dijon
47.3215806,5.0414701,2025-02-06 04:00:00+00:00,3.6,6.8,-2.1,1037.3,0.0,0.29,104.0,15.0,0.0,3.5,Dijon
47.3215806,5.0414701,2025-02-06 05:00:00+00:00,3.4,6.8,-1.6,1037.0,0.03,0.32,104.0,15.0,0.0,3.3,Dijon
47.3215806,5.0414701,2025-02-06 06:00:00+00:00,3.3,6.8,-1.2,1036.8,0.0,0.32,104.0,15.0,0.0,3.6,Dijon
47.3215806,5.0414701,2025-02-06 07:00:00+00:00,3.0,6.8,-1.2,1036.6,0.0,0.32,104.0,15.0,0.0,3.6,Dijon
47.3215806,5.0414701,2025-02-06 08:00:00+00:00,3.0,6.7,-1.2,1036.6,0.0,0.32,4.0,15.0,0.0,3.1,Dijon
47.3215806,5.0414701,2025-02-06 09:00:00+00:00,2.9,6.6,-0.3,1036.2,0.04,0.36,4.0,15.0,0.0,2.3,Dijon
47.3215806,5.0414701,2025-02-06 10:00:00+00:00,3.3,6.6,1.6,1036.0,0.09,0.45,6.0,6.0,0.0,2.8,Dijon
47.3215806,5.0414701,2025-02-06 11:00:00+00:00,3.6,6.6,2.8,1035.6,0.0,0.45,4.0,6.0,1.0,3.2,Dijon
47.3215806,5.0414701,2025-02-06 12:00:00+00:00,3.8,6.6,2.8,1034.6,0.0,0.45,4.0,6.0,1.0,3.1,Dijon
47.3215806,5.0414701,2025-02-06 13:00:00+00:00,4.1,6.6,2.8,1033.8,0.0,0.45,4.0,6.0,1.0,3.0,Dijon
47.3215806,5.0414701,2025-02-06 14:00:00+00:00,4.1,6.6,2.8,1032.9,0.0,0.45,4.0,6.0,0.0,3.0,Dijon
47.3215806,5.0414701,2025-02-06 15:00:00+00:00,4.2,6.6,2.8,1032.1,0.0,0.45,4.0,6.0,0.0,2.6,Dijon
47.3215806,5.0414701,2025-02-06 16:00:00+00:00,4.2,6.6,2.8,1031.4,0.0,0.45,4.0,6.0,0.0,2.9,Dijon
47.3215806,5.0414701,2025-02-06 17:00:00+00:00,3.9,6.1,2.8,1030.9,0.0,0.45,4.0,6.0,0.0,2.7,Dijon
47.3215806,5.0414701,2025-02-06 18:00:00+00:00,3.5,6.1,2.8,1030.5,0.0,0.45,104.0,6.0,0.0,2.6,Dijon
47.3215806,5.0414701,2025-02-06 19:00:00+00:00,3.2,6.1,2.8,1029.9,0.0,0.45,104.0,6.0,0.0,2.1,Dijon
47.3215806,5.0414701,2025-02-06 20:00:00+00:00,3.1,6.0,2.8,1029.4,0.0,0.4,104.0,6.0,0.0,3.0,Dijon
47.3215806,5.0414701,2025-02-06 21:00:00+00:00,2.7,6.0,2.6,1028.9,0.0,0.4,104.0,6.0,0.0,2.4,Dijon
47.3215806,5.0414701,2025-02-06 22:00:00+00:00,2.5,5.7,2.3,1028.4,0.0,0.37,104.0,6.0,0.0,1.9,Dijon
47.3215806,5.0414701,2025-02-06 23:00:00+00:00,2.4,5.5,2.3,1027.7,0.0,0.25,104.0,6.0,0.0,2.4,Dijon
47.3215806,5.0414701,2025-02-07 00:00:00+00:00,2.3,5.3,2.1,1027.1,0.0,0.25,104.0,6.0,0.0,1.9,Dijon
47.3215806,5.0414701,2025-02-07 01:00:00+00:00,2.2,4.8,2.1,1026.5,0.0,0.25,104.0,6.0,0.0,2.3,Dijon
47.3215806,5.0414701,2025-02-07 02:00:00+00:00,2.1,4.4,1.9,1025.8,0.0,0.21,104.0,6.0,0.0,1.6,Dijon
47.3215806,5.0414701,2025-02-07 03:00:00+00:00,1.8,4.4,1.7,1025.0,0.0,0.16,104.0,6.0,0.0,1.4,Dijon
47.3215806,5.0414701,2025-02-07 04:00:00+00:00,1.5,4.4,1.4,1024.3,0.0,0.16,104.0,6.0,0.0,1.4,Dijon
47.3215806,5.0414701,2025-02-07 05:00:00+00:00,1.0,4.4,0.8,1023.8,0.0,0.12,104.0,6.0,0.0,1.0,Dijon
47.3215806,5.0414701,2025-02-07 06:00:00+00:00,0.7,4.5,0.5,1023.6,0.0,0.12,104.0,6.0,0.0,0.9,Dijon
47.3215806,5.0414701,2025-02-07 07:00:00+00:00,0.5,4.5,0.3,1023.6,0.0,0.12,112.0,6.0,0.0,0.8,Dijon
47.3215806,5.0414701,2025-02-07 08:00:00+00:00,0.3,4.5,0.1,1023.8,0.0,0.12,12.0,6.0,0.0,0.4,Dijon
47.3215806,5.0414701,2025-02-07 09:00:00+00:00,1.5,4.5,0.0,1023.5,0.0,0.09,4.0,6.0,0.0,1.0,Dijon
47.3215806,5.0414701,2025-02-07 10:00:00+00:00,2.6,4.5,0.0,1023.1,0.0,0.0,4.0,12.0,1.0,1.6,Dijon
47.3215806,5.0414701,2025-02-07 11:00:00+00:00,3.8,4.5,0.0,1022.6,0.0,0.0,4.0,12.0,1.0,2.6,Dijon
47.3215806,5.0414701,2025-02-07 12:00:00+00:00,5.3,5.7,0.0,1021.8,0.0,0.0,4.0,12.0,1.0,3.7,Dijon
47.3215806,5.0414701,2025-02-07 13:00:00+00:00,7.0,7.4,-0.0,1020.6,0.0,0.0,4.0,12.0,1.0,3.2,Dijon
47.3215806,5.0414701,2025-02-07 14:00:00+00:00,8.6,9.1,-0.1,1019.5,0.0,0.0,4.0,12.0,1.0,2.6,Dijon
47.3215806,5.0414701,2025-02-07 15:00:00+00:00,9.4,9.9,-0.2,1018.8,0.0,0.0,3.0,12.0,0.0,3.0,Dijon
47.3215806,5.0414701,2025-02-07 16:00:00+00:00,9.4,9.9,-0.2,1018.5,0.0,0.0,4.0,12.0,0.0,3.2,Dijon
47.3215806,5.0414701,2025-02-07 17:00:00+00:00,8.6,9.9,-0.2,1018.6,0.0,0.0,4.0,12.0,0.0,3.7,Dijon
47.3215806,5.0414701,2025-02-07 18:00:00+00:00,7.7,9.9,-0.2,1018.8,0.0,0.0,104.0,12.0,0.0,3.3,Dijon
47.3215806,5.0414701,2025-02-07 19:00:00+00:00,4.6,9.9,-0.2,1019.3,0.0,0.0,104.0,12.0,0.0,0.8,Dijon
47.3215806,5.0414701,2025-02-07 20:00:00+00:00,3.8,9.9,-0.2,1019.5,0.0,0.0,101.0,12.0,0.0,2.0,Dijon
47.3215806,5.0414701,2025-02-07 21:00:00+00:00,3.6,9.9,-0.2,1019.7,0.0,0.0,101.0,12.0,0.0,2.1,Dijon
47.3215806,5.0414701,2025-02-07 22:00:00+00:00,3.6,9.9,-0.2,1019.9,0.0,0.0,102.0,12.0,0.0,2.2,Dijon
47.3215806,5.0414701,2025-02-07 23:00:00+00:00,3.2,9.9,-0.2,1019.9,0.0,0.0,104.0,12.0,0.0,2.3,Dijon
47.3215806,5.0414701,2025-02-08 00:00:00+00:00,3.3,9.9,-0.2,1019.9,0.0,0.0,104.0,12.0,0.0,1.8,Dijon
47.3215806,5.0414701,2025-02-08 01:00:00+00:00,3.1,9.9,-0.2,1019.9,0.0,0.0,104.0,12.0,0.0,1.7,Dijon
47.3215806,5.0414701,2025-02-08 02:00:00+00:00,2.5,9.9,-0.2,1019.8,0.0,0.0,104.0,12.0,0.0,1.9,Dijon
47.3215806,5.0414701,2025-02-08 03:00:00+00:00,2.3,9.9,-0.2,1019.7,0.03,0.03,104.0,12.0,0.0,1.6,Dijon
47.3215806,5.0414701,2025-02-08 04:00:00+00:00,2.3,9.9,-0.2,1019.6,0.29,0.32,115.0,15.0,0.0,1.3,Dijon
47.3215806,5.0414701,2025-02-08 05:00:00+00:00,2.4,9.9,-0.2,1020.0,0.07,0.4,115.0,15.0,0.0,1.3,Dijon
47.3215806,5.0414701,2025-02-08 06:00:00+00:00,2.5,9.9,-0.2,1020.4,0.0,0.4,104.0,15.0,0.0,1.3,Dijon
47.3215806,5.0414701,2025-02-08 07:00:00+00:00,2.6,9.9,-0.2,1020.8,0.1,0.5,115.0,15.0,0.0,1.3,Dijon
47.3215806,5.0414701,2025-02-08 08:00:00+00:00,3.1,9.8,-0.2,1021.3,0.14,0.64,15.0,15.0,0.0,1.1,Dijon
47.3215806,5.0414701,2025-02-08 09:00:00+00:00,3.7,9.8,1.0,1021.6,0.15,0.79,15.0,15.0,0.0,0.8,Dijon
47.3215806,5.0414701,2025-02-08 10:00:00+00:00,4.7,9.8,1.9,1021.9,0.23,1.02,15.0,15.0,1.0,1.2,Dijon
47.3215806,5.0414701,2025-02-08 11:00:00+00:00,6.2,9.8,1.9,1022.0,0.04,1.06,4.0,15.0,1.0,1.7,Dijon
47.3215806,5.0414701,2025-02-08 12:00:00+00:00,7.4,9.8,1.9,1021.8,0.0,1.06,4.0,15.0,1.0,2.1,Dijon
47.3215806,5.0414701,2025-02-08 13:00:00+00:00,6.6,9.8,1.9,1022.0,0.19,1.25,15.0,15.0,1.0,1.5,Dijon
47.3215806,5.0414701,2025-02-08 14:00:00+00:00,6.5,9.8,1.9,1022.1,0.19,1.43,15.0,15.0,1.0,2.0,Dijon
47.3215806,5.0414701,2025-02-08 15:00:00+00:00,6.4,9.8,1.9,1022.2,0.19,1.62,15.0,15.0,0.0,2.5,Dijon
47.3215806,5.0414701,2025-02-08 16:00:00+00:00,5.2,9.7,2.0,1023.4,0.19,1.81,15.0,15.0,0.0,2.7,Dijon
47.3215806,5.0414701,2025-02-08 17:00:00+00:00,4.0,9.0,2.0,1024.6,0.19,2.0,15.0,15.0,0.0,2.9,Dijon
47.3215806,5.0414701,2025-02-08 18:00:00+00:00,2.8,8.1,2.1,1025.8,0.19,2.19,115.0,15.0,0.0,3.1,Dijon
47.3215806,5.0414701,2025-02-08 19:00:00+00:00,2.5,7.8,2.1,1026.6,0.2,2.39,106.0,6.0,0.0,3.0,Dijon
47.3215806,5.0414701,2025-02-08 20:00:00+00:00,2.3,7.8,2.0,1027.3,0.2,2.59,106.0,6.0,0.0,2.8,Dijon
47.3215806,5.0414701,2025-02-08 21:00:00+00:00,2.0,7.8,1.7,1028.1,0.2,2.79,106.0,6.0,0.0,2.7,Dijon
47.3215806,5.0414701,2025-02-08 22:00:00+00:00,1.7,7.8,1.4,1028.4,0.0,2.79,104.0,6.0,0.0,1.9,Dijon
47.3215806,5.0414701,2025-02-08 23:00:00+00:00,1.4,7.8,1.1,1028.8,0.0,2.79,104.0,6.0,0.0,1.1,Dijon
47.3215806,5.0414701,2025-02-09 00:00:00+00:00,1.1,7.8,0.8,1029.1,0.0,2.79,104.0,6.0,0.0,0.3,Dijon
47.3215806,5.0414701,2025-02-09 01:00:00+00:00,1.1,7.8,0.8,1029.4,0.0,2.79,104.0,6.0,0.0,0.4,Dijon
47.3215806,5.0414701,2025-02-09 02:00:00+00:00,1.1,7.8,0.8,1029.7,0.0,2.79,104.0,6.0,0.0,0.5,Dijon
47.3215806,5.0414701,2025-02-09 03:00:00+00:00,1.1,7.8,0.8,1030.0,0.0,2.75,104.0,6.0,0.0,0.7,Dijon
47.3215806,5.0414701,2025-02-09 04:00:00+00:00,1.0,7.8,0.7,1030.3,0.43,2.9,106.0,6.0,0.0,0.6,Dijon
47.3215806,5.0414701,2025-02-09 05:00:00+00:00,0.9,7.8,0.6,1030.5,0.43,3.25,107.0,6.0,0.0,0.6,Dijon
47.3215806,5.0414701,2025-02-09 06:00:00+00:00,0.7,7.8,0.4,1030.8,0.43,3.69,107.0,6.0,0.0,0.6,Dijon
47.3215806,5.0414701,2025-02-09 07:00:00+00:00,0.9,7.8,0.4,1031.3,0.59,4.17,107.0,6.0,0.0,0.7,Dijon
47.3215806,5.0414701,2025-02-09 08:00:00+00:00,1.1,7.8,0.4,1031.9,0.59,4.62,7.0,6.0,0.0,0.7,Dijon
47.3215806,5.0414701,2025-02-09 09:00:00+00:00,1.3,7.8,0.4,1032.4,0.59,5.06,6.0,6.0,0.0,0.8,Dijon
47.3215806,5.0414701,2025-02-09 10:00:00+00:00,1.7,7.8,0.4,1032.4,0.31,5.13,6.0,6.0,1.0,0.8,Dijon
47.3215806,5.0414701,2025-02-09 11:00:00+00:00,2.1,7.8,0.4,1032.4,0.31,5.4,6.0,6.0,1.0,0.8,Dijon
47.3215806,5.0414701,2025-02-09 12:00:00+00:00,2.5,6.9,0.4,1032.4,0.31,5.71,6.0,6.0,1.0,0.8,Dijon
47.3215806,5.0414701,2025-02-09 13:00:00+00:00,2.7,6.8,0.4,1032.2,0.16,5.69,6.0,6.0,1.0,0.9,Dijon
47.3215806,5.0414701,2025-02-09 14:00:00+00:00,2.9,6.8,0.4,1032.0,0.16,5.66,6.0,6.0,1.0,1.0,Dijon
47.3215806,5.0414701,2025-02-09 15:00:00+00:00,3.1,6.8,0.5,1031.9,0.16,5.63,6.0,6.0,0.0,1.1,Dijon
47.3215806,5.0414701,2025-02-09 16:00:00+00:00,2.5,5.5,0.5,1032.1,0.0,5.44,4.0,6.0,0.0,0.8,Dijon
