lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
48.0447968,7.3079618,2025-02-05 16:00:00+00:00,3.4,4.4,-5.0,1039.0,0.0,0.0,2.0,12.0,0.0,2.1,Eguisheim
48.0447968,7.3079618,2025-02-05 17:00:00+00:00,2.7,4.4,-5.0,1039.7,0.0,0.0,4.0,12.0,0.0,2.4,Eguisheim
48.0447968,7.3079618,2025-02-05 18:00:00+00:00,2.8,4.4,-5.0,1040.2,0.0,0.0,104.0,12.0,0.0,2.3,Eguisheim
48.0447968,7.3079618,2025-02-05 19:00:00+00:00,2.8,4.4,-5.0,1040.7,0.0,0.0,104.0,12.0,0.0,2.5,Eguisheim
48.0447968,7.3079618,2025-02-05 20:00:00+00:00,2.6,4.4,-5.0,1040.6,0.0,0.0,104.0,12.0,0.0,2.8,Eguisheim
48.0447968,7.3079618,2025-02-05 21:00:00+00:00,2.6,4.4,-5.0,1040.7,0.0,0.0,104.0,12.0,0.0,3.2,Eguisheim
48.0447968,7.3079618,2025-02-05 22:00:00+00:00,3.0,4.4,-5.0,1040.1,0.0,0.0,104.0,12.0,0.0,3.2,Eguisheim
48.0447968,7.3079618,2025-02-05 23:00:00+00:00,2.9,4.4,-5.0,1040.0,0.0,0.0,104.0,12.0,0.0,3.2,Eguisheim
48.0447968,7.3079618,2025-02-06 00:00:00+00:00,2.5,4.4,-5.0,1039.5,0.0,0.0,104.0,12.0,0.0,3.0,Eguisheim
48.0447968,7.3079618,2025-02-06 01:00:00+00:00,2.3,4.4,-5.0,1039.1,0.0,0.0,104.0,12.0,0.0,3.0,Eguisheim
48.0447968,7.3079618,2025-02-06 02:00:00+00:00,2.2,4.4,-5.0,1038.9,0.0,0.0,104.0,12.0,0.0,2.8,Eguisheim
48.0447968,7.3079618,2025-02-06 03:00:00+00:00,2.0,4.4,-5.0,1038.5,0.0,0.0,104.0,12.0,0.0,2.7,Eguisheim
48.0447968,7.3079618,2025-02-06 04:00:00+00:00,1.8,4.4,-5.0,1038.6,0.05,0.05,104.0,12.0,0.0,3.1,Eguisheim
48.0447968,7.3079618,2025-02-06 05:00:00+00:00,1.6,4.4,-5.0,1038.4,0.0,0.05,104.0,12.0,0.0,3.6,Eguisheim
48.0447968,7.3079618,2025-02-06 06:00:00+00:00,1.4,4.4,-5.0,1038.4,0.0,0.05,104.0,12.0,0.0,3.3,Eguisheim
48.0447968,7.3079618,2025-02-06 07:00:00+00:00,1.2,4.4,-5.0,1038.2,0.0,0.05,104.0,12.0,0.0,2.8,Eguisheim
48.0447968,7.3079618,2025-02-06 08:00:00+00:00,1.1,4.4,-4.9,1038.1,0.0,0.05,4.0,12.0,0.0,3.1,Eguisheim
48.0447968,7.3079618,2025-02-06 09:00:00+00:00,1.2,4.4,-4.1,1037.9,0.0,0.05,4.0,12.0,0.0,3.1,Eguisheim
48.0447968,7.3079618,2025-02-06 10:00:00+00:00,1.3,4.3,-3.3,1037.7,0.0,0.05,4.0,3.0,0.0,3.4,Eguisheim
48.0447968,7.3079618,2025-02-06 11:00:00+00:00,1.7,4.2,-2.0,1037.1,0.0,0.05,4.0,3.0,0.0,3.3,Eguisheim
48.0447968,7.3079618,2025-02-06 12:00:00+00:00,2.3,4.2,0.2,1036.2,0.0,0.05,4.0,3.0,0.0,3.2,Eguisheim
48.0447968,7.3079618,2025-02-06 13:00:00+00:00,3.0,4.2,1.0,1035.3,0.0,0.05,4.0,3.0,0.0,3.4,Eguisheim
