lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
45.1875602,5.7357819,2025-02-05 16:00:00+00:00,5.2,8.3,0.0,1036.0,0.0,0.0,2.0,3.0,0.0,1.3,Grenoble
45.1875602,5.7357819,2025-02-05 17:00:00+00:00,2.4,8.3,0.0,1037.0,0.0,0.0,2.0,3.0,0.0,0.9,Grenoble
45.1875602,5.7357819,2025-02-05 18:00:00+00:00,1.7,8.3,0.0,1038.0,0.0,0.0,104.0,3.0,0.0,0.7,Grenoble
45.1875602,5.7357819,2025-02-05 19:00:00+00:00,1.3,8.3,0.0,1038.6,0.0,0.0,104.0,3.0,0.0,0.6,Grenoble
45.1875602,5.7357819,2025-02-05 20:00:00+00:00,1.4,8.3,0.0,1038.9,0.0,0.0,104.0,3.0,0.0,0.5,Grenoble
45.1875602,5.7357819,2025-02-05 21:00:00+00:00,1.3,8.3,0.0,1039.0,0.0,0.0,104.0,3.0,0.0,0.5,Grenoble
45.1875602,5.7357819,2025-02-05 22:00:00+00:00,1.2,8.3,0.0,1038.8,0.0,0.0,112.0,11.0,0.0,0.3,Grenoble
45.1875602,5.7357819,2025-02-05 23:00:00+00:00,1.0,8.3,0.0,1038.7,0.0,0.0,112.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 00:00:00+00:00,0.7,8.3,0.0,1038.7,0.0,0.0,112.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 01:00:00+00:00,0.6,8.3,0.0,1038.3,0.0,0.0,112.0,11.0,0.0,0.1,Grenoble
45.1875602,5.7357819,2025-02-06 02:00:00+00:00,0.7,8.3,0.0,1037.6,0.0,0.0,104.0,11.0,0.0,0.1,Grenoble
45.1875602,5.7357819,2025-02-06 03:00:00+00:00,0.9,8.3,0.0,1036.7,0.0,0.0,104.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 04:00:00+00:00,1.1,8.3,0.0,1035.8,0.0,0.0,104.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 05:00:00+00:00,1.1,8.3,0.0,1035.9,0.0,0.0,104.0,11.0,0.0,0.7,Grenoble
45.1875602,5.7357819,2025-02-06 06:00:00+00:00,0.7,8.3,0.0,1035.8,0.0,0.0,104.0,11.0,0.0,0.5,Grenoble
45.1875602,5.7357819,2025-02-06 07:00:00+00:00,0.3,8.3,-0.1,1035.8,0.0,0.0,104.0,11.0,0.0,0.1,Grenoble
45.1875602,5.7357819,2025-02-06 08:00:00+00:00,2.3,8.3,-0.1,1035.5,0.0,0.0,3.0,11.0,0.0,0.4,Grenoble
45.1875602,5.7357819,2025-02-06 09:00:00+00:00,4.3,8.3,-0.1,1034.6,0.0,0.0,3.0,11.0,1.0,0.7,Grenoble
45.1875602,5.7357819,2025-02-06 10:00:00+00:00,6.1,8.3,-0.1,1033.9,0.0,0.0,2.0,11.0,1.0,1.2,Grenoble
45.1875602,5.7357819,2025-02-06 11:00:00+00:00,7.3,8.3,-0.1,1033.1,0.0,0.0,1.0,11.0,2.0,1.2,Grenoble
45.1875602,5.7357819,2025-02-06 12:00:00+00:00,8.6,9.1,-0.1,1031.5,0.0,0.0,1.0,11.0,2.0,1.1,Grenoble
45.1875602,5.7357819,2025-02-06 13:00:00+00:00,9.5,10.0,-0.2,1030.0,0.0,0.0,2.0,11.0,1.0,1.4,Grenoble
45.1875602,5.7357819,2025-02-06 14:00:00+00:00,9.6,10.0,-0.2,1029.3,0.0,0.0,1.0,11.0,1.0,1.6,Grenoble
45.1875602,5.7357819,2025-02-06 15:00:00+00:00,8.8,10.1,-0.2,1029.1,0.0,0.0,1.0,11.0,0.0,1.5,Grenoble
45.1875602,5.7357819,2025-02-06 16:00:00+00:00,6.9,10.1,-0.2,1029.0,0.0,0.0,2.0,11.0,0.0,0.8,Grenoble
45.1875602,5.7357819,2025-02-06 17:00:00+00:00,4.4,10.1,-0.2,1028.7,0.0,0.0,2.0,11.0,0.0,0.6,Grenoble
45.1875602,5.7357819,2025-02-06 18:00:00+00:00,3.6,10.1,-0.2,1028.8,0.0,0.0,102.0,11.0,0.0,0.4,Grenoble
45.1875602,5.7357819,2025-02-06 19:00:00+00:00,2.9,10.1,-0.2,1028.5,0.0,0.0,102.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 20:00:00+00:00,2.6,10.1,-0.2,1028.0,0.0,0.0,102.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 21:00:00+00:00,2.8,10.1,-0.2,1027.5,0.0,0.0,102.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-06 22:00:00+00:00,2.9,10.1,-0.2,1026.8,0.0,0.0,102.0,11.0,0.0,0.3,Grenoble
45.1875602,5.7357819,2025-02-06 23:00:00+00:00,3.0,10.1,-0.2,1026.1,0.0,0.0,102.0,11.0,0.0,0.3,Grenoble
45.1875602,5.7357819,2025-02-07 00:00:00+00:00,2.9,10.1,-0.2,1025.7,0.0,0.0,102.0,11.0,0.0,0.2,Grenoble
45.1875602,5.7357819,2025-02-07 01:00:00+00:00,2.8,10.1,-0.2,1025.6,0.0,0.0,102.0,3.0,0.0,0.3,Grenoble
45.1875602,5.7357819,2025-02-07 02:00:00+00:00,3.0,10.1,-0.2,1025.0,0.0,0.0,102.0,3.0,0.0,0.5,Grenoble
45.1875602,5.7357819,2025-02-07 03:00:00+00:00,3.0,10.1,-0.2,1024.0,0.0,0.0,101.0,3.0,0.0,0.6,Grenoble
45.1875602,5.7357819,2025-02-07 04:00:00+00:00,2.8,10.1,-0.2,1023.4,0.0,0.0,102.0,3.0,0.0,0.4,Grenoble
