lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
49.4938975,0.1079732,2025-02-05 16:00:00+00:00,7.8,8.5,6.5,1040.0,0.0,0.03,3.0,11.0,0.0,1.6,Le Havre
49.4938975,0.1079732,2025-02-05 17:00:00+00:00,7.1,8.2,6.5,1040.5,0.0,0.03,3.0,11.0,0.0,0.6,Le Havre
49.4938975,0.1079732,2025-02-05 18:00:00+00:00,6.7,8.2,6.5,1040.5,0.0,0.03,103.0,11.0,0.0,0.1,Le Havre
49.4938975,0.1079732,2025-02-05 19:00:00+00:00,6.5,8.2,6.4,1041.1,0.0,0.03,103.0,11.0,0.0,1.0,Le Havre
49.4938975,0.1079732,2025-02-05 20:00:00+00:00,6.0,8.2,5.8,1041.5,0.0,0.03,103.0,11.0,0.0,1.1,Le Havre
49.4938975,0.1079732,2025-02-05 21:00:00+00:00,5.6,8.2,5.5,1041.6,0.0,0.03,103.0,11.0,0.0,1.5,Le Havre
49.4938975,0.1079732,2025-02-05 22:00:00+00:00,5.2,8.2,5.1,1041.6,0.0,0.0,103.0,11.0,0.0,1.5,Le Havre
49.4938975,0.1079732,2025-02-05 23:00:00+00:00,4.7,8.3,4.5,1041.2,0.0,0.0,103.0,11.0,0.0,1.5,Le Havre
49.4938975,0.1079732,2025-02-06 00:00:00+00:00,4.7,8.3,4.5,1041.1,0.0,0.0,103.0,11.0,0.0,1.6,Le Havre
49.4938975,0.1079732,2025-02-06 01:00:00+00:00,4.7,8.3,4.5,1041.0,0.0,0.0,103.0,11.0,0.0,1.7,Le Havre
49.4938975,0.1079732,2025-02-06 02:00:00+00:00,4.8,8.3,4.5,1040.9,0.0,0.0,104.0,11.0,0.0,1.6,Le Havre
49.4938975,0.1079732,2025-02-06 03:00:00+00:00,5.3,8.3,4.5,1040.7,0.0,0.0,104.0,11.0,0.0,2.7,Le Havre
49.4938975,0.1079732,2025-02-06 04:00:00+00:00,5.7,8.3,4.5,1040.2,0.0,0.0,103.0,11.0,0.0,3.2,Le Havre
49.4938975,0.1079732,2025-02-06 05:00:00+00:00,5.5,8.3,4.5,1040.0,0.0,0.0,103.0,11.0,0.0,3.6,Le Havre
49.4938975,0.1079732,2025-02-06 06:00:00+00:00,5.0,8.3,4.5,1040.0,0.0,0.0,103.0,11.0,0.0,3.6,Le Havre
49.4938975,0.1079732,2025-02-06 07:00:00+00:00,4.6,8.3,4.4,1040.0,0.0,0.0,102.0,11.0,0.0,3.7,Le Havre
49.4938975,0.1079732,2025-02-06 08:00:00+00:00,4.5,8.3,4.3,1040.2,0.0,0.0,1.0,11.0,0.0,3.8,Le Havre
49.4938975,0.1079732,2025-02-06 09:00:00+00:00,5.4,8.3,4.2,1040.2,0.0,0.0,1.0,11.0,0.0,4.7,Le Havre
49.4938975,0.1079732,2025-02-06 10:00:00+00:00,6.1,8.3,4.2,1040.0,0.0,0.0,1.0,3.0,1.0,4.3,Le Havre
49.4938975,0.1079732,2025-02-06 11:00:00+00:00,6.8,8.3,4.2,1039.6,0.0,0.0,1.0,3.0,1.0,5.1,Le Havre
49.4938975,0.1079732,2025-02-06 12:00:00+00:00,7.3,8.3,4.2,1038.9,0.0,0.0,1.0,3.0,1.0,5.1,Le Havre
49.4938975,0.1079732,2025-02-06 13:00:00+00:00,7.6,8.3,4.2,1037.7,0.0,0.0,2.0,3.0,1.0,5.3,Le Havre
49.4938975,0.1079732,2025-02-06 14:00:00+00:00,7.4,8.3,4.2,1036.8,0.0,0.0,2.0,3.0,1.0,5.5,Le Havre
49.4938975,0.1079732,2025-02-06 15:00:00+00:00,7.0,8.2,4.3,1035.9,0.0,0.0,2.0,3.0,0.0,5.6,Le Havre
49.4938975,0.1079732,2025-02-06 16:00:00+00:00,6.5,8.0,4.3,1035.3,0.0,0.0,1.0,3.0,0.0,5.7,Le Havre
49.4938975,0.1079732,2025-02-06 17:00:00+00:00,5.6,7.7,4.3,1035.0,0.0,0.0,3.0,3.0,0.0,5.8,Le Havre
49.4938975,0.1079732,2025-02-06 18:00:00+00:00,5.2,7.7,4.3,1034.4,0.0,0.0,103.0,3.0,0.0,5.5,Le Havre
49.4938975,0.1079732,2025-02-06 19:00:00+00:00,4.7,7.7,4.3,1034.0,0.0,0.0,104.0,3.0,0.0,5.7,Le Havre
