lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
50.6365654,3.0635282,2025-02-05 16:00:00+00:00,7.6,9.9,-0.3,1039.6,0.0,0.0,2.0,3.0,0.0,1.3,Lille
50.6365654,3.0635282,2025-02-05 17:00:00+00:00,5.2,9.9,-0.3,1040.2,0.0,0.0,2.0,3.0,0.0,1.5,Lille
50.6365654,3.0635282,2025-02-05 18:00:00+00:00,4.2,9.9,-0.3,1040.5,0.0,0.0,102.0,3.0,0.0,1.7,Lille
50.6365654,3.0635282,2025-02-05 19:00:00+00:00,3.5,9.9,-0.3,1040.9,0.0,0.0,102.0,3.0,0.0,1.5,Lille
50.6365654,3.0635282,2025-02-05 20:00:00+00:00,3.0,9.9,-0.3,1041.3,0.0,0.0,102.0,3.0,0.0,1.5,Lille
50.6365654,3.0635282,2025-02-05 21:00:00+00:00,2.2,9.9,-0.3,1041.7,0.0,0.0,102.0,3.0,0.0,1.8,Lille
50.6365654,3.0635282,2025-02-05 22:00:00+00:00,1.8,9.9,-0.3,1041.6,0.0,0.0,102.0,3.0,0.0,1.3,Lille
50.6365654,3.0635282,2025-02-05 23:00:00+00:00,1.4,9.9,-0.3,1041.7,0.0,0.0,102.0,3.0,0.0,1.4,Lille
50.6365654,3.0635282,2025-02-06 00:00:00+00:00,1.0,9.9,-0.3,1041.7,0.0,0.0,103.0,3.0,0.0,1.4,Lille
50.6365654,3.0635282,2025-02-06 01:00:00+00:00,1.5,9.9,-0.3,1041.4,0.0,0.0,103.0,2.0,0.0,1.6,Lille
50.6365654,3.0635282,2025-02-06 02:00:00+00:00,1.1,9.9,-0.3,1041.4,0.0,0.0,103.0,2.0,0.0,1.7,Lille
50.6365654,3.0635282,2025-02-06 03:00:00+00:00,1.3,9.9,-0.3,1041.4,0.0,0.0,104.0,3.0,0.0,1.9,Lille
50.6365654,3.0635282,2025-02-06 04:00:00+00:00,1.5,9.9,-0.3,1041.1,0.0,0.0,104.0,3.0,0.0,2.0,Lille
