lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
43.8374249,4.3600687,2025-02-05 16:00:00+00:00,9.6,11.8,2.6,1032.2,0.0,0.0,1.0,1.0,0.0,5.5,Nimes
43.8374249,4.3600687,2025-02-05 17:00:00+00:00,7.9,11.8,2.6,1032.6,0.0,0.0,1.0,1.0,0.0,5.3,Nimes
43.8374249,4.3600687,2025-02-05 18:00:00+00:00,6.8,11.8,2.6,1033.0,0.0,0.0,101.0,1.0,0.0,5.5,Nimes
43.8374249,4.3600687,2025-02-05 19:00:00+00:00,6.3,11.8,2.6,1033.5,0.0,0.0,101.0,1.0,0.0,6.0,Nimes
43.8374249,4.3600687,2025-02-05 20:00:00+00:00,6.0,11.8,2.6,1033.6,0.0,0.0,101.0,1.0,0.0,6.2,Nimes
43.8374249,4.3600687,2025-02-05 21:00:00+00:00,5.6,11.8,2.6,1033.7,0.0,0.0,101.0,1.0,0.0,6.3,Nimes
43.8374249,4.3600687,2025-02-05 22:00:00+00:00,5.2,11.8,2.6,1033.5,0.0,0.0,101.0,1.0,0.0,6.3,Nimes
43.8374249,4.3600687,2025-02-05 23:00:00+00:00,4.9,11.8,2.6,1033.4,0.0,0.0,101.0,1.0,0.0,6.2,Nimes
43.8374249,4.3600687,2025-02-06 00:00:00+00:00,4.8,11.8,2.6,1033.5,0.0,0.0,101.0,1.0,0.0,6.3,Nimes
43.8374249,4.3600687,2025-02-06 01:00:00+00:00,4.8,11.8,2.6,1033.3,0.0,0.0,101.0,1.0,0.0,6.3,Nimes
43.8374249,4.3600687,2025-02-06 02:00:00+00:00,4.7,11.8,2.6,1033.1,0.0,0.0,102.0,1.0,0.0,6.1,Nimes
43.8374249,4.3600687,2025-02-06 03:00:00+00:00,4.5,11.8,2.6,1032.5,0.0,0.0,101.0,1.0,0.0,5.8,Nimes
