lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
48.8588897,2.3200410217200766,2025-02-05 16:00:00+00:00,7.3,7.7,0.6,1040.1,0.0,0.0,4.0,3.0,0.0,2.6,Paris
48.8588897,2.3200410217200766,2025-02-05 17:00:00+00:00,6.1,7.7,0.6,1040.6,0.0,0.0,3.0,3.0,0.0,2.3,Paris
48.8588897,2.3200410217200766,2025-02-05 18:00:00+00:00,5.1,7.7,0.6,1040.7,0.0,0.0,102.0,3.0,0.0,1.7,Paris
48.8588897,2.3200410217200766,2025-02-05 19:00:00+00:00,4.1,7.7,1.5,1040.9,0.0,0.0,102.0,3.0,0.0,1.7,Paris
48.8588897,2.3200410217200766,2025-02-05 20:00:00+00:00,3.7,7.7,1.5,1041.1,0.0,0.0,102.0,3.0,0.0,2.1,Paris
48.8588897,2.3200410217200766,2025-02-05 21:00:00+00:00,2.9,7.7,1.5,1041.7,0.0,0.0,103.0,3.0,0.0,1.9,Paris
48.8588897,2.3200410217200766,2025-02-05 22:00:00+00:00,2.3,7.7,1.5,1041.4,0.0,0.0,102.0,3.0,0.0,2.2,Paris
48.8588897,2.3200410217200766,2025-02-05 23:00:00+00:00,1.3,7.7,0.9,1041.1,0.0,0.0,103.0,3.0,0.0,0.6,Paris
48.8588897,2.3200410217200766,2025-02-06 00:00:00+00:00,1.0,7.8,0.7,1041.0,0.0,0.0,103.0,3.0,0.0,0.9,Paris
48.8588897,2.3200410217200766,2025-02-06 01:00:00+00:00,0.4,7.8,0.0,1040.7,0.0,0.0,103.0,3.0,0.0,0.6,Paris
48.8588897,2.3200410217200766,2025-02-06 02:00:00+00:00,0.3,7.8,-0.1,1040.5,0.0,0.0,104.0,3.0,0.0,0.6,Paris
48.8588897,2.3200410217200766,2025-02-06 03:00:00+00:00,0.1,7.8,-0.3,1040.3,0.0,0.0,112.0,11.0,0.0,0.6,Paris
48.8588897,2.3200410217200766,2025-02-06 04:00:00+00:00,0.1,7.8,-0.3,1040.0,0.0,0.0,112.0,11.0,0.0,1.3,Paris
48.8588897,2.3200410217200766,2025-02-06 05:00:00+00:00,0.1,7.8,-0.3,1039.9,0.0,0.0,112.0,11.0,0.0,1.6,Paris
48.8588897,2.3200410217200766,2025-02-06 06:00:00+00:00,0.3,7.8,-0.3,1039.5,0.0,0.0,112.0,11.0,0.0,1.6,Paris
48.8588897,2.3200410217200766,2025-02-06 07:00:00+00:00,0.4,7.8,-0.3,1039.4,0.0,0.0,112.0,11.0,0.0,1.6,Paris
48.8588897,2.3200410217200766,2025-02-06 08:00:00+00:00,1.0,7.8,-0.3,1039.4,0.0,0.0,4.0,11.0,0.0,2.1,Paris
48.8588897,2.3200410217200766,2025-02-06 09:00:00+00:00,1.6,7.8,-0.3,1039.3,0.0,0.0,4.0,11.0,0.0,2.8,Paris
48.8588897,2.3200410217200766,2025-02-06 10:00:00+00:00,2.5,7.8,-0.3,1039.0,0.0,0.0,4.0,11.0,0.0,2.8,Paris
48.8588897,2.3200410217200766,2025-02-06 11:00:00+00:00,3.4,7.8,-0.3,1038.4,0.0,0.0,4.0,11.0,1.0,3.3,Paris
48.8588897,2.3200410217200766,2025-02-06 12:00:00+00:00,4.0,7.8,-0.3,1037.6,0.0,0.0,4.0,11.0,1.0,3.8,Paris
48.8588897,2.3200410217200766,2025-02-06 13:00:00+00:00,4.3,7.8,-0.3,1036.5,0.0,0.0,4.0,11.0,1.0,3.9,Paris
48.8588897,2.3200410217200766,2025-02-06 14:00:00+00:00,5.2,7.8,-0.3,1035.6,0.0,0.0,3.0,11.0,0.0,4.2,Paris
48.8588897,2.3200410217200766,2025-02-06 15:00:00+00:00,5.3,7.8,-0.3,1034.8,0.0,0.0,4.0,11.0,0.0,4.5,Paris
48.8588897,2.3200410217200766,2025-02-06 16:00:00+00:00,5.0,7.8,-0.2,1034.2,0.0,0.0,4.0,11.0,0.0,3.4,Paris
48.8588897,2.3200410217200766,2025-02-06 17:00:00+00:00,4.5,6.5,-0.2,1033.7,0.0,0.0,4.0,11.0,0.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-06 18:00:00+00:00,4.3,5.6,-0.2,1033.2,0.0,0.0,104.0,11.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-06 19:00:00+00:00,4.0,5.6,-0.2,1032.7,0.0,0.0,104.0,12.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-06 20:00:00+00:00,3.6,5.6,-0.2,1032.1,0.0,0.0,104.0,12.0,0.0,3.3,Paris
48.8588897,2.3200410217200766,2025-02-06 21:00:00+00:00,2.8,5.6,-0.2,1031.6,0.0,0.0,104.0,12.0,0.0,3.4,Paris
48.8588897,2.3200410217200766,2025-02-06 22:00:00+00:00,2.7,5.6,-0.2,1030.9,0.0,0.0,104.0,12.0,0.0,3.5,Paris
48.8588897,2.3200410217200766,2025-02-06 23:00:00+00:00,2.5,5.6,-0.2,1030.0,0.0,0.0,104.0,12.0,0.0,3.4,Paris
48.8588897,2.3200410217200766,2025-02-07 00:00:00+00:00,2.0,5.6,-0.2,1029.1,0.0,0.0,104.0,12.0,0.0,3.2,Paris
48.8588897,2.3200410217200766,2025-02-07 01:00:00+00:00,1.5,5.6,-0.2,1028.1,0.0,0.0,104.0,12.0,0.0,3.1,Paris
48.8588897,2.3200410217200766,2025-02-07 02:00:00+00:00,1.5,5.6,-0.2,1027.1,0.0,0.0,104.0,12.0,0.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-07 03:00:00+00:00,1.6,5.6,-0.2,1025.9,0.0,0.0,104.0,12.0,0.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-07 04:00:00+00:00,1.7,5.6,-0.2,1024.7,0.0,0.0,104.0,12.0,0.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-07 05:00:00+00:00,1.9,5.6,-0.2,1023.9,0.0,0.0,104.0,12.0,0.0,3.2,Paris
48.8588897,2.3200410217200766,2025-02-07 06:00:00+00:00,1.9,5.6,0.0,1023.3,0.0,0.0,104.0,12.0,0.0,3.2,Paris
48.8588897,2.3200410217200766,2025-02-07 07:00:00+00:00,1.9,5.6,0.2,1022.8,0.0,0.0,104.0,3.0,0.0,3.1,Paris
48.8588897,2.3200410217200766,2025-02-07 08:00:00+00:00,1.8,5.6,0.8,1022.3,0.0,0.0,4.0,3.0,0.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-07 09:00:00+00:00,1.8,5.6,1.3,1021.8,0.0,0.0,4.0,3.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-07 10:00:00+00:00,2.7,5.6,1.3,1021.1,0.0,0.0,4.0,3.0,1.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-07 11:00:00+00:00,3.5,5.6,1.3,1020.4,0.0,0.0,4.0,3.0,1.0,3.1,Paris
48.8588897,2.3200410217200766,2025-02-07 12:00:00+00:00,4.3,5.6,1.3,1019.7,0.0,0.0,4.0,3.0,1.0,3.2,Paris
48.8588897,2.3200410217200766,2025-02-07 13:00:00+00:00,4.0,5.6,1.3,1019.1,0.27,0.27,15.0,15.0,1.0,3.1,Paris
48.8588897,2.3200410217200766,2025-02-07 14:00:00+00:00,3.8,5.6,1.3,1018.5,0.27,0.54,15.0,15.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-07 15:00:00+00:00,3.6,5.6,1.3,1017.9,0.27,0.81,15.0,15.0,0.0,2.8,Paris
48.8588897,2.3200410217200766,2025-02-07 16:00:00+00:00,3.7,5.2,1.3,1017.7,0.21,1.02,15.0,15.0,0.0,2.7,Paris
48.8588897,2.3200410217200766,2025-02-07 17:00:00+00:00,3.8,4.7,1.4,1017.5,0.21,1.23,15.0,15.0,0.0,2.6,Paris
48.8588897,2.3200410217200766,2025-02-07 18:00:00+00:00,3.9,4.5,1.4,1017.2,0.21,1.44,115.0,15.0,0.0,2.5,Paris
48.8588897,2.3200410217200766,2025-02-07 19:00:00+00:00,3.9,4.5,1.4,1016.7,0.55,1.99,115.0,15.0,0.0,2.5,Paris
48.8588897,2.3200410217200766,2025-02-07 20:00:00+00:00,3.8,4.5,1.4,1016.3,0.55,2.54,115.0,15.0,0.0,2.5,Paris
48.8588897,2.3200410217200766,2025-02-07 21:00:00+00:00,3.7,4.5,1.4,1015.8,0.55,3.09,115.0,15.0,0.0,2.5,Paris
48.8588897,2.3200410217200766,2025-02-07 22:00:00+00:00,3.9,4.5,1.4,1015.5,0.35,3.44,115.0,15.0,0.0,2.6,Paris
48.8588897,2.3200410217200766,2025-02-07 23:00:00+00:00,4.1,4.5,1.4,1015.2,0.35,3.79,115.0,15.0,0.0,2.8,Paris
48.8588897,2.3200410217200766,2025-02-08 00:00:00+00:00,4.3,4.5,1.4,1014.9,0.35,4.13,115.0,15.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-08 01:00:00+00:00,5.0,5.2,1.4,1014.7,0.16,4.29,115.0,15.0,0.0,3.3,Paris
48.8588897,2.3200410217200766,2025-02-08 02:00:00+00:00,5.7,5.9,1.4,1014.4,0.16,4.46,115.0,15.0,0.0,3.8,Paris
48.8588897,2.3200410217200766,2025-02-08 03:00:00+00:00,6.3,6.6,1.4,1014.2,0.16,4.62,115.0,15.0,0.0,4.2,Paris
48.8588897,2.3200410217200766,2025-02-08 04:00:00+00:00,6.2,6.6,1.5,1014.7,0.13,4.75,115.0,15.0,0.0,3.8,Paris
48.8588897,2.3200410217200766,2025-02-08 05:00:00+00:00,6.1,6.6,1.6,1015.1,0.13,4.89,115.0,15.0,0.0,3.4,Paris
48.8588897,2.3200410217200766,2025-02-08 06:00:00+00:00,6.0,6.6,1.6,1015.6,0.13,5.02,115.0,15.0,0.0,3.0,Paris
48.8588897,2.3200410217200766,2025-02-08 07:00:00+00:00,5.8,6.6,1.6,1016.3,0.13,5.15,115.0,15.0,0.0,2.7,Paris
48.8588897,2.3200410217200766,2025-02-08 08:00:00+00:00,5.6,6.6,1.6,1017.0,0.13,5.28,15.0,15.0,0.0,2.5,Paris
48.8588897,2.3200410217200766,2025-02-08 09:00:00+00:00,5.5,6.5,1.6,1017.8,0.13,5.41,15.0,15.0,0.0,2.2,Paris
48.8588897,2.3200410217200766,2025-02-08 10:00:00+00:00,5.3,6.5,2.4,1018.6,0.1,5.51,15.0,15.0,0.0,2.4,Paris
48.8588897,2.3200410217200766,2025-02-08 11:00:00+00:00,5.0,6.5,3.3,1019.4,0.1,5.61,15.0,15.0,1.0,2.6,Paris
48.8588897,2.3200410217200766,2025-02-08 12:00:00+00:00,4.8,6.5,3.4,1020.2,0.1,5.72,15.0,15.0,0.0,2.8,Paris
48.8588897,2.3200410217200766,2025-02-08 13:00:00+00:00,4.9,6.5,3.4,1020.8,0.0,5.45,4.0,15.0,0.0,2.8,Paris
48.8588897,2.3200410217200766,2025-02-08 14:00:00+00:00,4.9,6.5,3.4,1021.4,0.0,5.18,4.0,15.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-08 15:00:00+00:00,5.0,6.5,3.4,1021.9,0.0,4.9,4.0,15.0,0.0,2.9,Paris
48.8588897,2.3200410217200766,2025-02-08 16:00:00+00:00,4.3,6.5,3.5,1022.8,0.0,4.69,4.0,15.0,0.0,2.4,Paris
48.8588897,2.3200410217200766,2025-02-08 17:00:00+00:00,3.6,6.5,3.4,1023.6,0.0,4.48,4.0,15.0,0.0,1.8,Paris
48.8588897,2.3200410217200766,2025-02-08 18:00:00+00:00,2.9,6.5,2.7,1024.4,0.0,4.27,104.0,15.0,0.0,1.2,Paris
48.8588897,2.3200410217200766,2025-02-08 19:00:00+00:00,2.4,6.5,2.2,1025.1,0.0,3.72,103.0,15.0,0.0,1.5,Paris
48.8588897,2.3200410217200766,2025-02-08 20:00:00+00:00,1.8,6.6,1.6,1025.7,0.0,3.18,103.0,15.0,0.0,1.9,Paris
48.8588897,2.3200410217200766,2025-02-08 21:00:00+00:00,1.3,6.6,1.0,1026.4,0.0,2.63,101.0,15.0,0.0,2.2,Paris
48.8588897,2.3200410217200766,2025-02-08 22:00:00+00:00,0.8,6.6,0.5,1026.8,0.0,2.28,101.0,15.0,0.0,2.0,Paris
48.8588897,2.3200410217200766,2025-02-08 23:00:00+00:00,0.4,6.6,0.1,1027.3,0.0,1.93,101.0,15.0,0.0,1.8,Paris
48.8588897,2.3200410217200766,2025-02-09 00:00:00+00:00,-0.1,6.7,-0.4,1027.7,0.0,1.58,101.0,15.0,0.0,1.6,Paris
48.8588897,2.3200410217200766,2025-02-09 01:00:00+00:00,0.1,6.7,-0.4,1028.1,0.0,1.42,102.0,15.0,0.0,1.6,Paris
48.8588897,2.3200410217200766,2025-02-09 02:00:00+00:00,0.3,6.7,-0.4,1028.5,0.0,1.26,103.0,8.0,0.0,1.7,Paris
48.8588897,2.3200410217200766,2025-02-09 03:00:00+00:00,0.5,6.6,-0.4,1029.0,0.0,1.1,104.0,8.0,0.0,1.7,Paris
48.8588897,2.3200410217200766,2025-02-09 04:00:00+00:00,0.7,6.5,-0.4,1029.4,0.0,0.96,104.0,8.0,0.0,1.8,Paris
48.8588897,2.3200410217200766,2025-02-09 05:00:00+00:00,0.9,6.4,-0.4,1029.8,0.0,0.83,104.0,8.0,0.0,1.8,Paris
