lat,lon,validdate,t_2m:C,t_max_2m_24h:C,t_min_2m_24h:C,msl_pressure:hPa,precip_1h:mm,precip_24h:mm,weather_symbol_1h:idx,weather_symbol_24h:idx,uv:idx,wind_speed_10m:ms,city
48.649518,-2.0260409,2025-02-05 16:00:00+00:00,8.1,12.0,5.4,1039.8,0.0,0.28,3.0,8.0,0.0,0.2,St Malo
48.649518,-2.0260409,2025-02-05 17:00:00+00:00,6.4,11.1,5.4,1040.3,0.0,0.28,12.0,8.0,0.0,1.6,St Malo
48.649518,-2.0260409,2025-02-05 18:00:00+00:00,5.2,10.3,4.9,1040.6,0.0,0.28,112.0,8.0,0.0,1.8,St Malo
48.649518,-2.0260409,2025-02-05 19:00:00+00:00,4.7,10.2,4.5,1041.2,0.0,0.08,112.0,8.0,0.0,1.0,St Malo
48.649518,-2.0260409,2025-02-05 20:00:00+00:00,5.0,10.2,4.5,1041.3,0.0,0.0,112.0,11.0,0.0,1.4,St Malo
48.649518,-2.0260409,2025-02-05 21:00:00+00:00,5.4,10.2,4.5,1041.6,0.0,0.0,104.0,11.0,0.0,2.0,St Malo
48.649518,-2.0260409,2025-02-05 22:00:00+00:00,5.7,10.2,4.5,1041.3,0.0,0.0,104.0,11.0,0.0,2.3,St Malo
48.649518,-2.0260409,2025-02-05 23:00:00+00:00,5.8,10.2,4.5,1041.0,0.0,0.0,104.0,11.0,0.0,2.4,St Malo
48.649518,-2.0260409,2025-02-06 00:00:00+00:00,5.2,10.2,4.5,1040.9,0.0,0.0,104.0,11.0,0.0,2.0,St Malo
48.649518,-2.0260409,2025-02-06 01:00:00+00:00,4.5,10.2,4.2,1040.6,0.0,0.0,112.0,11.0,0.0,1.8,St Malo
48.649518,-2.0260409,2025-02-06 02:00:00+00:00,4.4,10.2,4.1,1040.4,0.0,0.0,104.0,11.0,0.0,1.6,St Malo
48.649518,-2.0260409,2025-02-06 03:00:00+00:00,4.9,10.2,4.1,1040.2,0.0,0.0,104.0,11.0,0.0,2.1,St Malo
48.649518,-2.0260409,2025-02-06 04:00:00+00:00,4.8,10.2,4.1,1039.7,0.0,0.0,103.0,11.0,0.0,2.2,St Malo
48.649518,-2.0260409,2025-02-06 05:00:00+00:00,4.8,10.2,4.1,1039.7,0.0,0.0,104.0,11.0,0.0,2.4,St Malo
48.649518,-2.0260409,2025-02-06 06:00:00+00:00,4.8,10.2,4.1,1039.3,0.0,0.0,103.0,11.0,0.0,2.7,St Malo
48.649518,-2.0260409,2025-02-06 07:00:00+00:00,4.9,10.2,4.1,1039.2,0.0,0.0,103.0,11.0,0.0,3.3,St Malo
48.649518,-2.0260409,2025-02-06 08:00:00+00:00,5.8,10.2,4.1,1039.3,0.0,0.0,103.0,11.0,0.0,4.4,St Malo
48.649518,-2.0260409,2025-02-06 09:00:00+00:00,6.6,10.2,4.1,1039.4,0.0,0.0,2.0,11.0,0.0,4.9,St Malo
48.649518,-2.0260409,2025-02-06 10:00:00+00:00,7.3,10.2,4.1,1039.3,0.0,0.0,1.0,11.0,1.0,5.8,St Malo
48.649518,-2.0260409,2025-02-06 11:00:00+00:00,7.7,10.2,4.1,1039.1,0.0,0.0,1.0,11.0,1.0,5.1,St Malo
48.649518,-2.0260409,2025-02-06 12:00:00+00:00,8.1,10.2,4.1,1038.3,0.0,0.0,1.0,11.0,1.0,4.9,St Malo
48.649518,-2.0260409,2025-02-06 13:00:00+00:00,8.5,10.2,4.1,1037.0,0.0,0.0,1.0,11.0,1.0,5.5,St Malo
48.649518,-2.0260409,2025-02-06 14:00:00+00:00,8.7,9.9,4.2,1035.9,0.0,0.0,1.0,11.0,1.0,5.9,St Malo
48.649518,-2.0260409,2025-02-06 15:00:00+00:00,8.5,9.2,4.2,1034.9,0.0,0.0,1.0,11.0,0.0,6.6,St Malo
48.649518,-2.0260409,2025-02-06 16:00:00+00:00,7.9,8.9,4.2,1034.1,0.0,0.0,1.0,11.0,0.0,6.9,St Malo
48.649518,-2.0260409,2025-02-06 17:00:00+00:00,6.8,8.9,4.2,1033.6,0.0,0.0,1.0,11.0,0.0,7.0,St Malo
48.649518,-2.0260409,2025-02-06 18:00:00+00:00,5.5,8.9,4.2,1033.1,0.0,0.0,101.0,11.0,0.0,6.9,St Malo
48.649518,-2.0260409,2025-02-06 19:00:00+00:00,4.8,8.9,4.2,1032.7,0.0,0.0,101.0,11.0,0.0,7.0,St Malo
48.649518,-2.0260409,2025-02-06 20:00:00+00:00,4.4,8.9,4.2,1032.2,0.0,0.0,101.0,11.0,0.0,6.3,St Malo
48.649518,-2.0260409,2025-02-06 21:00:00+00:00,4.0,8.9,3.8,1031.9,0.0,0.0,103.0,11.0,0.0,6.3,St Malo
48.649518,-2.0260409,2025-02-06 22:00:00+00:00,3.9,8.9,3.6,1031.1,0.0,0.0,103.0,11.0,0.0,5.5,St Malo
48.649518,-2.0260409,2025-02-06 23:00:00+00:00,4.1,8.9,3.6,1030.0,0.0,0.0,103.0,11.0,0.0,5.5,St Malo
48.649518,-2.0260409,2025-02-07 00:00:00+00:00,4.1,8.9,3.6,1029.1,0.0,0.0,104.0,11.0,0.0,5.7,St Malo
48.649518,-2.0260409,2025-02-07 01:00:00+00:00,3.9,8.9,3.6,1028.2,0.0,0.0,104.0,3.0,0.0,5.3,St Malo
48.649518,-2.0260409,2025-02-07 02:00:00+00:00,3.7,8.9,3.4,1027.1,0.0,0.0,103.0,3.0,0.0,5.5,St Malo
48.649518,-2.0260409,2025-02-07 03:00:00+00:00,3.5,8.9,3.2,1025.8,0.0,0.0,103.0,3.0,0.0,5.9,St Malo
48.649518,-2.0260409,2025-02-07 04:00:00+00:00,3.4,8.9,3.1,1024.5,0.0,0.0,104.0,3.0,0.0,6.2,St Malo
48.649518,-2.0260409,2025-02-07 05:00:00+00:00,3.2,8.9,3.0,1023.7,0.0,0.0,103.0,3.0,0.0,6.0,St Malo
48.649518,-2.0260409,2025-02-07 06:00:00+00:00,2.5,8.9,2.2,1023.1,0.11,0.11,106.0,10.0,0.0,5.8,St Malo
48.649518,-2.0260409,2025-02-07 07:00:00+00:00,2.9,8.9,2.2,1022.6,0.18,0.29,106.0,10.0,0.0,5.5,St Malo
48.649518,-2.0260409,2025-02-07 08:00:00+00:00,3.2,8.9,2.2,1022.0,0.18,0.47,6.0,10.0,0.0,5.2,St Malo
48.649518,-2.0260409,2025-02-07 09:00:00+00:00,3.2,8.9,2.2,1021.4,0.18,0.65,6.0,10.0,0.0,5.0,St Malo
48.649518,-2.0260409,2025-02-07 10:00:00+00:00,3.4,8.9,2.2,1020.6,0.15,0.8,6.0,10.0,0.0,4.4,St Malo
48.649518,-2.0260409,2025-02-07 11:00:00+00:00,3.5,8.9,2.2,1019.8,0.15,0.95,6.0,10.0,0.0,3.9,St Malo
48.649518,-2.0260409,2025-02-07 12:00:00+00:00,3.6,8.9,2.2,1018.9,0.15,1.1,6.0,10.0,0.0,3.3,St Malo
48.649518,-2.0260409,2025-02-07 13:00:00+00:00,3.6,8.9,2.2,1018.2,0.18,1.29,6.0,10.0,0.0,3.0,St Malo
48.649518,-2.0260409,2025-02-07 14:00:00+00:00,3.5,8.9,2.2,1017.4,0.18,1.47,6.0,10.0,0.0,2.6,St Malo
48.649518,-2.0260409,2025-02-07 15:00:00+00:00,3.5,8.8,2.2,1016.6,0.18,1.65,6.0,10.0,0.0,2.3,St Malo
48.649518,-2.0260409,2025-02-07 16:00:00+00:00,3.3,8.2,2.3,1016.5,0.19,1.84,6.0,10.0,0.0,2.0,St Malo
48.649518,-2.0260409,2025-02-07 17:00:00+00:00,3.1,7.1,2.3,1016.4,0.19,2.03,6.0,10.0,0.0,1.8,St Malo
48.649518,-2.0260409,2025-02-07 18:00:00+00:00,2.9,5.7,2.4,1016.2,0.19,2.22,106.0,10.0,0.0,1.5,St Malo
48.649518,-2.0260409,2025-02-07 19:00:00+00:00,2.6,4.9,2.4,1016.0,0.0,2.22,104.0,6.0,0.0,1.3,St Malo
48.649518,-2.0260409,2025-02-07 20:00:00+00:00,2.4,4.5,2.3,1015.8,0.0,2.22,104.0,6.0,0.0,1.1,St Malo
48.649518,-2.0260409,2025-02-07 21:00:00+00:00,2.2,4.2,2.1,1015.7,0.0,2.22,104.0,6.0,0.0,0.8,St Malo
48.649518,-2.0260409,2025-02-07 22:00:00+00:00,2.0,4.2,1.8,1015.6,0.0,2.22,104.0,6.0,0.0,1.0,St Malo
48.649518,-2.0260409,2025-02-07 23:00:00+00:00,1.7,4.2,1.6,1015.6,0.0,2.22,103.0,6.0,0.0,1.3,St Malo
48.649518,-2.0260409,2025-02-08 00:00:00+00:00,1.4,4.2,1.3,1015.6,0.0,2.22,102.0,6.0,0.0,1.5,St Malo
48.649518,-2.0260409,2025-02-08 01:00:00+00:00,1.1,4.0,1.0,1015.5,0.14,2.36,106.0,6.0,0.0,2.1,St Malo
48.649518,-2.0260409,2025-02-08 02:00:00+00:00,0.8,3.8,0.7,1015.4,0.14,2.5,106.0,6.0,0.0,2.7,St Malo
48.649518,-2.0260409,2025-02-08 03:00:00+00:00,0.6,3.8,0.4,1015.3,0.14,2.64,106.0,6.0,0.0,3.3,St Malo
48.649518,-2.0260409,2025-02-08 04:00:00+00:00,0.3,3.8,0.1,1015.6,0.0,2.64,102.0,6.0,0.0,3.1,St Malo
48.649518,-2.0260409,2025-02-08 05:00:00+00:00,0.1,3.8,-0.1,1015.9,0.0,2.64,102.0,6.0,0.0,3.0,St Malo
48.649518,-2.0260409,2025-02-08 06:00:00+00:00,-0.2,3.8,-0.4,1016.1,0.0,2.53,103.0,6.0,0.0,2.8,St Malo
48.649518,-2.0260409,2025-02-08 07:00:00+00:00,0.4,3.8,-0.4,1016.8,0.13,2.48,115.0,6.0,0.0,3.1,St Malo
48.649518,-2.0260409,2025-02-08 08:00:00+00:00,1.2,3.8,-0.4,1017.4,0.13,2.42,15.0,6.0,0.0,3.5,St Malo
48.649518,-2.0260409,2025-02-08 09:00:00+00:00,1.7,3.8,-0.4,1018.0,0.13,2.37,15.0,6.0,0.0,3.8,St Malo
48.649518,-2.0260409,2025-02-08 10:00:00+00:00,3.2,3.8,-0.4,1018.5,0.0,2.22,3.0,6.0,0.0,3.8,St Malo
48.649518,-2.0260409,2025-02-08 11:00:00+00:00,4.7,5.0,-0.4,1018.9,0.0,2.06,3.0,6.0,0.0,3.8,St Malo
48.649518,-2.0260409,2025-02-08 12:00:00+00:00,6.1,6.5,-0.4,1019.3,0.0,1.91,4.0,6.0,1.0,3.8,St Malo
48.649518,-2.0260409,2025-02-08 13:00:00+00:00,6.0,6.5,-0.5,1019.7,0.61,2.34,5.0,6.0,0.0,4.1,St Malo
48.649518,-2.0260409,2025-02-08 14:00:00+00:00,5.9,6.5,-0.5,1020.1,0.61,2.76,5.0,6.0,0.0,4.5,St Malo
48.649518,-2.0260409,2025-02-08 15:00:00+00:00,5.8,6.5,-0.5,1020.5,0.61,3.19,5.0,6.0,0.0,4.8,St Malo
48.649518,-2.0260409,2025-02-08 16:00:00+00:00,5.9,6.5,-0.5,1021.4,0.29,3.3,15.0,6.0,0.0,5.1,St Malo
48.649518,-2.0260409,2025-02-08 17:00:00+00:00,5.9,6.5,-0.5,1022.2,0.29,3.4,15.0,6.0,0.0,5.4,St Malo
48.649518,-2.0260409,2025-02-08 18:00:00+00:00,5.5,6.5,-0.5,1023.0,0.29,3.51,115.0,6.0,0.0,5.8,St Malo
48.649518,-2.0260409,2025-02-08 19:00:00+00:00,5.3,6.5,-0.5,1023.7,0.0,3.51,103.0,10.0,0.0,5.3,St Malo
48.649518,-2.0260409,2025-02-08 20:00:00+00:00,5.3,6.5,-0.5,1024.4,0.0,3.51,104.0,10.0,0.0,4.8,St Malo
48.649518,-2.0260409,2025-02-08 21:00:00+00:00,5.2,6.5,-0.5,1025.1,0.0,3.51,104.0,10.0,0.0,4.4,St Malo
48.649518,-2.0260409,2025-02-08 22:00:00+00:00,5.0,6.5,-0.5,1025.5,0.0,3.51,104.0,10.0,0.0,4.0,St Malo
48.649518,-2.0260409,2025-02-08 23:00:00+00:00,4.7,6.5,-0.5,1025.9,0.0,3.51,104.0,6.0,0.0,3.5,St Malo
